date,B084TQKLCC,B08563P4NS,B0856XZJLH,B0859RSTXN,B0859S7T1T,B085CM549X,B085G4J52J,B085RKVJRM,B0868YY9MW,B086C688Y5,B086DT2387,B086MPXGKJ,average
2020-02-15,,,,,,,,,,,,,
2020-02-16,,,,,,,,,,,,,
2020-02-17,,,,,,,,,,,,,
2020-02-18,,,,,,,,,,,,,
2020-02-19,,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,,
2020-02-21,,,,,,,,,,,,,
2020-02-22,,,,,,,,,,,,,
2020-02-23,,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,,
2020-02-29,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,
2020-03-10,1.0,,,,,,,,,,,,1.0
2020-03-11,1.0,,,,,,,,,,,,1.0
2020-03-12,1.0,,,,,,,,,,,,1.0
2020-03-13,1.0,,,,,,,,,,,,1.0
2020-03-14,1.0,,,,,,,,,,,,1.0
2020-03-15,1.0,,,,,,,,,,,,1.0
2020-03-16,1.0,,,,,,,,,,,,1.0
2020-03-17,1.0,,,,,,,,,,,,1.0
2020-03-18,1.0,,,,,,,,,,,,1.0
2020-03-19,1.0,,,,,,,,,,,,1.0
2020-03-20,1.0,,,,,,,,,,,,1.0
2020-03-21,1.0,,,,,,,,,,,,1.0
2020-03-22,1.0,,,,,,,,,,,,1.0
2020-03-23,1.0,,,,,,,,,,,,1.0
2020-03-24,1.0,,,,,,,,,,,,1.0
2020-03-25,1.0,,,,,,,,,,,,1.0
2020-03-26,1.0,,,,,,,,,,,,1.0
2020-03-27,1.0,,,,,,,1.0,,,,,1.0
2020-03-28,1.0,,,,,,,1.0,,,,,1.0
2020-03-29,1.0,,,,,,,1.0,,,,,1.0
2020-03-30,1.0,,,,,,,1.0,,,,,1.0
2020-03-31,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-01,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-02,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-03,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-04,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-05,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-06,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-07,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-08,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-09,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-10,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-11,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-12,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-13,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-14,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-15,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-16,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-17,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-18,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-19,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-20,1.0,1.0,,,1.0,,,1.0,,,,,1.0
2020-04-21,1.0,3.701025056947608,,,1.0,,,1.0,,,,,1.675256264236902
2020-04-22,1.0,3.701025056947608,,,1.0,,,1.0,,,,,1.675256264236902
2020-04-23,1.0,3.701025056947608,,,1.0,,,1.0,,,,,1.675256264236902
2020-04-24,1.0,3.701025056947608,,,1.0,,,1.0,,,,,1.675256264236902
2020-04-25,1.0,3.701025056947608,,,1.0,,,1.0,,,,,1.675256264236902
2020-04-26,1.0,3.701025056947608,,,1.0,,,1.0,,1.0,,,1.5402050113895216
2020-04-27,1.0,3.701025056947608,,,1.0,,,1.0,,1.0,1.0,,1.4501708428246012
2020-04-28,1.0,3.701025056947608,,,1.0,,,1.0,,1.0,1.0,,1.4501708428246012
2020-04-29,1.0,3.701025056947608,,,1.0,,,1.0,,1.0,1.0,,1.4501708428246012
2020-04-30,1.0,3.701025056947608,,,1.0,,,1.0,,1.0,1.0,,1.4501708428246012
2020-05-01,1.0,3.701025056947608,,1.0,0.8484618881648736,1.0,,1.0,,1.0,1.0,,1.31868586813906
2020-05-02,1.0,3.701025056947608,,1.0,0.8484618881648736,1.0,,1.0,,1.0,1.0,,1.31868586813906
2020-05-03,1.0,3.701025056947608,,1.0,0.8484618881648736,1.0,,1.0,,1.0,1.0,,1.31868586813906
2020-05-04,1.0,3.701025056947608,1.0,1.0,0.765115926655554,1.0,,1.0,,1.0,1.0,,1.2740156648447956
2020-05-05,1.0,3.701025056947608,1.0,1.0,0.765115926655554,1.0,1.0,1.0,,1.0,1.0,,1.246614098360316
2020-05-06,1.0,3.701025056947608,1.0,1.0,0.765115926655554,1.0,1.0,1.0,,1.0,1.0,,1.246614098360316
2020-05-07,1.0,3.701025056947608,1.0,1.0,0.765115926655554,1.0,1.0,1.0,,1.0,1.0,,1.246614098360316
2020-05-08,1.0,3.701025056947608,1.0,1.0,0.765115926655554,1.0,1.0,0.9528888888888889,1.0,1.0,1.0,,1.2199118065901864
2020-05-09,1.0,3.701025056947608,1.0,1.0,0.765115926655554,1.0,1.0,0.9528888888888889,1.0,1.0,1.0,,1.2199118065901864
2020-05-10,1.0,3.701025056947608,1.0,1.0,0.765115926655554,1.0,1.0,0.9528888888888889,1.3684057971014494,1.0,1.0,1.0,1.2322863057994582
2020-05-11,1.0,3.701025056947608,1.1668336673346693,1.0,0.765115926655554,1.0,1.0,0.9528888888888889,1.4372753623188408,1.0,1.0,1.0,1.2519282418454634
