date,price,trend,category,group
1/1/20,1,0.913832771,Toilet Paper,Personal Care/Household
1/2/20,1,0.913832771,Toilet Paper,Personal Care/Household
1/3/20,1,0.913832771,Toilet Paper,Personal Care/Household
1/4/20,1.013166527,0.913832771,Toilet Paper,Personal Care/Household
1/5/20,0.997252329,0.913832771,Toilet Paper,Personal Care/Household
1/6/20,0.997252329,0.913832771,Toilet Paper,Personal Care/Household
1/7/20,1.002655996,0.913832771,Toilet Paper,Personal Care/Household
1/8/20,1.003425758,0.913832771,Toilet Paper,Personal Care/Household
1/9/20,1.003425758,0.913832771,Toilet Paper,Personal Care/Household
1/10/20,1.003425758,0.913832771,Toilet Paper,Personal Care/Household
1/11/20,1.002655996,0.915656788,Toilet Paper,Personal Care/Household
1/12/20,1.002655996,0.913832771,Toilet Paper,Personal Care/Household
1/13/20,1.002343761,0.913832771,Toilet Paper,Personal Care/Household
1/14/20,0.997124974,0.913832771,Toilet Paper,Personal Care/Household
1/15/20,0.99709843,0.913832771,Toilet Paper,Personal Care/Household
1/16/20,0.992426773,0.913832771,Toilet Paper,Personal Care/Household
1/17/20,0.997085158,0.913832771,Toilet Paper,Personal Care/Household
1/18/20,0.99957825,0.913832771,Toilet Paper,Personal Care/Household
1/19/20,1.013791946,0.913832771,Toilet Paper,Personal Care/Household
1/20/20,1.013791946,0.913832771,Toilet Paper,Personal Care/Household
1/21/20,1.013791946,0.913832771,Toilet Paper,Personal Care/Household
1/22/20,1.048217565,0.913832771,Toilet Paper,Personal Care/Household
1/23/20,1.048191022,0.913832771,Toilet Paper,Personal Care/Household
1/24/20,1.050677665,0.913832771,Toilet Paper,Personal Care/Household
1/25/20,1.047202846,0.913832771,Toilet Paper,Personal Care/Household
1/26/20,1.047272378,0.913832771,Toilet Paper,Personal Care/Household
1/27/20,1.047272378,0.913832771,Toilet Paper,Personal Care/Household
1/28/20,1.047272378,0.913832771,Toilet Paper,Personal Care/Household
1/29/20,1.047272378,0.913832771,Toilet Paper,Personal Care/Household
1/30/20,1.04575055,0.913832771,Toilet Paper,Personal Care/Household
1/31/20,1.046456018,0.913832771,Toilet Paper,Personal Care/Household
2/1/20,1.046513823,0.913832771,Toilet Paper,Personal Care/Household
2/2/20,1.046513823,0.913832771,Toilet Paper,Personal Care/Household
2/3/20,1.042027971,0.913832771,Toilet Paper,Personal Care/Household
2/4/20,1.042027971,0.913832771,Toilet Paper,Personal Care/Household
2/5/20,1.042027971,0.913832771,Toilet Paper,Personal Care/Household
2/6/20,1.042027971,0.913832771,Toilet Paper,Personal Care/Household
2/7/20,1.042027971,0.913832771,Toilet Paper,Personal Care/Household
2/8/20,1.042920072,0.913832771,Toilet Paper,Personal Care/Household
2/9/20,1.042920072,0.913832771,Toilet Paper,Personal Care/Household
2/10/20,1.042920072,0.913832771,Toilet Paper,Personal Care/Household
