date,B000084F1I,B0009YUGA6,B0009YWKUA,B000VJ08SY,B000X91KI4,B000XZBXP8,B001QCKS4O,B003O7ZON4,B0055FSN3Q,B0057XGM5W,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002001334222814,1.0,1.0,1.0000200133422281
2020-01-15,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-16,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-17,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-18,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-23,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-24,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-25,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-26,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-27,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-28,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-29,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-30,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-01-31,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-02-01,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-02-02,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.0,0.9997645673925838
2020-02-03,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.4384180790960452,1.0436063753021885
2020-02-04,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.4384180790960452,1.0436063753021885
2020-02-05,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.468361581920904,1.0466007255846743
2020-02-06,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.468361581920904,1.0466007255846743
2020-02-07,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.468361581920904,1.0466007255846743
2020-02-08,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.468361581920904,1.0466007255846743
2020-02-09,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,1.0,1.468361581920904,1.0466007255846743
2020-02-10,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,0.9469734867433718,1.468361581920904,1.0412980742590114
2020-02-11,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,0.9469734867433718,1.468361581920904,1.0412980742590114
2020-02-12,1.0,1.0,1.0,0.9976456739258388,1.0,1.0,1.0,1.0,0.973486743371686,1.468361581920904,1.043949399921843
2020-02-13,1.0,1.0,1.0,0.9988228369629194,1.0,1.0,1.0,1.0,0.973486743371686,1.468361581920904,1.0440671162255508
2020-02-14,1.0,1.0,1.0,0.9988228369629194,1.0,1.0,1.0,1.0,0.973486743371686,1.649717514124294,1.06220270944589
2020-02-15,1.0,1.0,1.0,0.9988228369629194,1.0,1.0,1.0,1.0,0.973486743371686,1.4305084745762713,1.0402818054910876
2020-02-16,1.0,1.0,1.0,0.9988228369629194,1.0,1.0,1.0,1.0,0.973486743371686,1.3169491525423729,1.0289258732876978
2020-02-17,1.0,1.0,1.0,0.9988228369629194,1.0,1.0,1.0,1.1000667111407605,0.973486743371686,1.2926553672316383,1.0365031658707005
2020-02-18,1.0,1.0,1.0204164965291955,0.9988228369629194,1.0,1.0,1.0,1.0500333555703802,0.973486743371686,1.302824858757062,1.034558429119124
2020-02-19,1.0,1.0,1.0204164965291955,0.9988228369629194,1.0,1.0,1.0,1.0500333555703802,0.973486743371686,1.3005649717514125,1.0343324404185592
2020-02-20,1.0,1.0,1.0204164965291955,0.9411418481459684,1.0,1.0,1.0,1.0,0.973486743371686,1.269491525423729,1.020453661347058
2020-02-21,1.0,1.0,1.0204164965291955,0.9693937610359035,1.0,1.0,1.0,1.0,0.973486743371686,1.4042372881355933,1.0367534289072378
2020-02-22,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0,1.0,1.0,0.973486743371686,1.4491525423728813,1.0440701456199601
2020-02-23,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0,1.0,1.0,0.973486743371686,1.385310734463277,1.0376859648289998
2020-02-24,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0,1.0,1.0,0.973486743371686,1.385310734463277,1.0376859648289998
2020-02-25,1.0,1.0,1.0204164965291955,0.9411418481459684,1.0,1.0,1.0,1.0,0.973486743371686,1.3824858757062146,1.0317530963753065
2020-02-26,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0,1.0,1.0,0.973486743371686,1.3271186440677967,1.0318667557894519
2020-02-27,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0,1.0,1.0,0.973486743371686,1.9768361581920906,1.0968385072018811
2020-02-28,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0,1.0,1.0,0.973486743371686,1.9768361581920906,1.0968385072018811
2020-02-29,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0600240096038416,1.0,1.0,0.973486743371686,1.8638418079096046,1.0915414731340165
2020-03-01,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0600240096038416,1.0,1.0,0.973486743371686,1.8638418079096046,1.0915414731340165
2020-03-02,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0600240096038416,1.0,1.0,0.973486743371686,1.8638418079096046,1.0915414731340165
2020-03-03,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0600240096038416,1.0,1.0,0.973486743371686,1.2203389830508475,1.0271911906481408
2020-03-04,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0600240096038416,1.0,1.0,0.973486743371686,1.2203389830508475,1.0271911906481408
2020-03-05,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0600240096038416,1.0,1.0,0.973486743371686,1.2203389830508475,1.0271911906481408
2020-03-06,1.0,1.0,1.0204164965291955,0.9976456739258388,1.0,1.0600240096038416,1.0,1.0,0.973486743371686,1.2203389830508475,1.0271911906481408
2020-03-07,1.0,1.0,1.0204164965291955,0.9976456739258388,0.9749899959983993,0.7727090836334534,1.0,1.0,0.973486743371686,1.3649717514124295,1.0104219744871004
2020-03-08,1.0,1.0,1.0204164965291955,0.9976456739258388,0.7897158863545418,0.7727090836334534,1.0,1.0,0.973486743371686,1.2830508474576272,0.9837024731272341
2020-03-09,1.0,1.0,1.0204164965291955,0.9976456739258388,0.7502000800320131,0.7727090836334534,1.0,1.0,0.973486743371686,1.2830508474576272,0.9797508924949814
2020-03-10,1.0,0.8999599839935974,1.0204164965291955,0.9976456739258388,0.710684273709484,0.7727090836334534,1.0,1.0,0.973486743371686,1.3033898305084746,0.9678292085671728
2020-03-11,1.0,0.8549419767907163,1.0204164965291955,0.9976456739258388,0.710684273709484,0.7727090836334534,1.0,1.0,0.973486743371686,1.2203389830508475,0.9550223231011221
2020-03-12,1.0,0.8099239695878351,1.0204164965291955,0.9976456739258388,0.710684273709484,0.7727090836334534,1.0,1.0,0.9089544772386194,1.3703389830508474,0.9590672957675276
2020-03-13,1.0,1.0,1.0204164965291955,0.9976456739258388,0.8428371348539416,0.9163665466186475,1.0,1.0,0.9089544772386194,1.3093220338983051,0.9995542363064548
2020-03-14,1.0,1.0,1.0204164965291955,0.9976456739258388,0.9749899959983993,0.9163665466186475,1.0,1.0,0.9279639819909956,1.8480225988700567,1.0685405293933132
2020-03-15,1.0,1.0,1.0204164965291955,0.9976456739258388,0.9749899959983993,0.9163665466186475,1.0,1.0,0.9279639819909956,1.8480225988700567,1.0685405293933132
2020-03-16,1.0,1.0,1.0204164965291955,0.9976456739258388,0.9749899959983993,1.0600240096038416,1.0,1.0,0.9279639819909956,1.8480225988700567,1.0829062756918326
2020-03-17,1.0,1.0,1.0204164965291955,0.9976456739258388,0.9749899959983993,1.0600240096038416,1.0,1.0,0.9279639819909956,1.2203389830508475,1.0201379141099118
2020-03-18,1.0,1.0,1.0204164965291955,0.9976456739258388,0.9749899959983993,1.0600240096038416,1.0,1.0,0.9279639819909956,1.2203389830508475,1.0201379141099118
2020-03-19,1.0,1.0,1.0204164965291955,0.9976456739258388,0.9749899959983993,1.0600240096038416,1.0,1.0,0.9279639819909956,1.2203389830508475,1.0201379141099118
2020-03-20,1.0,1.0,1.0204164965291955,1.0,0.9749899959983993,1.0600240096038416,1.0,1.0,0.9279639819909956,1.415819209039548,1.039921369316198
2020-03-21,1.0,1.0,1.0204164965291955,1.0,0.9637855142056824,0.9899959983993597,1.0,1.0,0.9089544772386194,1.415819209039548,1.0298971695412404
2020-03-22,1.0,1.000200080032013,1.0204164965291955,1.0,0.9637855142056824,0.9899959983993597,1.0,1.0,0.9089544772386194,1.3030131826741995,1.018636574907907
2020-03-23,1.0,1.0200080032012806,1.0,1.0,0.9637855142056824,0.9899959983993597,1.0,1.0,0.9089544772386194,1.468361581920904,1.0351105574965846
2020-03-24,1.0,0.9639855942376951,1.0,1.0,0.9675203414699213,0.9899959983993597,1.0,1.0,0.9089544772386194,1.344350282485876,1.017480669383147
2020-03-25,1.0,1.000200080032013,1.0204164965291955,1.0,0.9749899959983993,0.9404761904761906,1.0,1.0,0.9089544772386194,1.344350282485876,1.0189387522760291
2020-03-26,1.0,1.000066693344004,1.0204164965291955,1.0,0.9749899959983993,0.801920768307323,1.0,1.0,0.9089544772386194,1.344350282485876,1.0050698713903414
2020-03-27,1.0,0.9639855942376951,1.0204164965291955,1.0,0.9749899959983993,0.801920768307323,1.0,1.0,0.9089544772386194,1.344350282485876,1.0014617614797108
2020-03-28,1.0,1.0,1.0204164965291955,1.0,0.9749899959983993,0.801920768307323,1.0,1.0,0.9089544772386194,1.344350282485876,1.0050632020559411
2020-03-29,1.0,1.0001000400160065,1.0204164965291955,1.0,0.9749899959983993,0.7216886754701881,1.0,1.0,0.9089544772386194,1.344350282485876,0.9970499967738284
2020-03-30,1.0,0.9820928371348541,1.0204164965291955,1.0,0.9693877551020409,0.7216886754701881,1.0,1.0,0.9089544772386194,1.344350282485876,0.9946890523960775
2020-03-31,1.0,1.000200080032013,1.0204164965291955,1.0,0.9749899959983993,0.7216886754701881,1.0,1.0,0.9089544772386194,1.649717514124294,1.027596723939271
2020-04-01,1.0,1.000200080032013,1.0204164965291955,1.0,0.9749899959983993,0.8608443377350941,1.0,1.0750500333555704,0.9089544772386194,1.649717514124294,1.0490172935013187
2020-04-02,1.0,0.9001600640256103,1.0204164965291955,1.0,0.9749899959983993,0.7216886754701881,1.0,1.0750500333555704,0.9089544772386194,1.3954802259887005,0.9996739968606283
2020-04-03,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9749899959983993,0.7809790582899827,1.0,1.0,0.9089544772386194,1.3954802259887005,0.9890944303664746
2020-04-04,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9749899959983993,0.8908563425370148,1.0,1.0,0.9089544772386194,1.3875706214689265,0.9992911983392003
2020-04-05,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9749899959983993,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3954802259887005,0.9831653920844952
2020-04-06,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9749899959983993,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3954802259887005,0.9831653920844952
2020-04-07,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9749899959983993,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3954802259887005,0.9831653920844952
2020-04-08,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9749899959983993,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3920903954802262,0.9828264090336477
2020-04-09,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9749899959983993,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3920903954802262,0.9828264090336477
2020-04-10,1.0,1.0,1.0204164965291955,1.0,0.8775510204081634,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3920903954802262,0.9920701065126393
2020-04-11,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3728813559322035,0.9797850568995738
2020-04-12,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3745762711864407,0.9799545484249975
2020-04-13,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.7216886754701881,1.0,1.0,0.9089544772386194,1.3745762711864407,0.9799545484249975
2020-04-14,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.7216886754701881,1.0,1.0,0.9089544772386194,1.2994350282485876,0.9724404241312122
2020-04-15,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.7216886754701881,1.0,1.0,0.9089544772386194,1.2994350282485876,0.9724404241312122
2020-04-16,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.855842336934774,1.0,1.0,0.9089544772386194,1.3680790960451978,0.9927201970573318
2020-04-17,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.9899959983993597,1.0,1.0,0.9089544772386194,1.3909604519774013,1.0084236987970105
2020-04-18,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3909604519774013,0.9980595531387472
2020-04-19,1.0,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.8863545418167267,1.0,1.0,0.9089544772386194,1.9768361581920906,1.0566471237602162
2020-04-20,1.0,0.8101240496198481,1.0204164965291955,1.0,0.8673469387755103,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3898305084745763,0.9883027012454475
2020-04-21,1.0,1.0,1.0204164965291955,1.0,0.9637855142056824,0.8863545418167267,1.0,1.0500333555703802,0.9089544772386194,1.3892655367231639,1.0218809922083767
2020-04-22,0.8888580161155876,0.8101240496198481,1.0204164965291955,1.0,0.9637855142056824,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3898305084745763,0.9868323604000235
2020-04-23,0.8888580161155876,0.8101240496198481,1.0204164965291955,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0333555703802535,0.9089544772386194,1.3776836158192092,0.9900736763517838
2020-04-24,0.9444290080577938,1.0,1.0204164965291955,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0333555703802535,0.9089544772386194,1.38135593220339,1.0149856022224377
2020-04-25,0.8888580161155876,1.0,1.0204164965291955,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.38135593220339,1.0060929459901917
2020-04-26,0.8888580161155876,1.0,1.0204164965291955,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3898305084745763,1.0069404036173104
2020-04-27,0.8888580161155876,1.0,1.0204164965291955,1.0,0.9749899959983993,0.8863545418167267,1.0,1.1000667111407605,0.9089544772386194,1.3898305084745763,1.0169470747313865
2020-04-28,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3901129943502826,1.016061617436932
2020-04-29,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.9768361581920906,1.0747339338211128
2020-04-30,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3954802259887005,1.016598340600774
2020-05-01,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3572504708097928,1.012775365082883
2020-05-02,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3572504708097928,1.012775365082883
2020-05-03,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.3954802259887005,1.016598340600774
2020-05-04,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.8141242937853108,1.0584627473804349
2020-05-05,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.8141242937853108,1.0584627473804349
2020-05-06,1.0,1.0,1.000204164965292,1.0,0.9749899959983993,0.8863545418167266,1.0,1.0,0.9089544772386194,1.8141242937853108,1.0584627473804349
2020-05-07,1.0,1.0,1.01041241322989,1.0,0.9749899959983993,0.8863545418167267,0.8999563128003495,1.0251834556370913,0.9089544772386194,1.8141242937853108,1.0519975490506386
2020-05-08,1.0,0.8999599839935974,1.01041241322989,1.0,0.9749899959983993,0.8420368147258904,1.0,1.0251834556370913,0.9089544772386194,1.4423728813559322,1.010391002217942
2020-05-09,1.0,0.8999599839935974,1.01041241322989,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0,0.9089544772386194,1.2875706214689266,0.996824203374616
2020-05-10,1.0,0.8999599839935974,1.01041241322989,1.0,0.9749899959983993,0.8863545418167267,1.0,1.0503669112741827,0.9089544772386194,1.2429378531073447,0.9973976176658759
