date,N95 Mask,hand sanitizer,disinfectant spray,disinfectant wipes,olive oil,canned soup,rice,instant noodles,bottled water,hair color,hair clipper,shampoo,trash bag,toilet paper,dumbbell,yoga mat,nintendo switch,pet supply,printer ink
2020-01-01,0.3,0.5,0.3,0.1,0.0,,0.2,0.4444444444444444,0.6,0.1,0.2,0.0,0.7,0.0,0.4,0.3,0.2,0.6,0.4
2020-01-02,0.3,0.5,0.4,0.1,0.1,,0.3,0.4444444444444444,0.6,0.1,0.2,0.0,0.7,0.0,0.4,0.3,0.2,0.6,0.4
2020-01-03,0.3,0.5,0.3,0.1,0.0,,0.3,0.4444444444444444,0.6,0.1,0.2,0.0,0.7,0.0,0.4,0.3,0.2,0.6,0.4
2020-01-04,0.3,0.5,0.3,0.1,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.4,0.3,0.2,0.6,0.4
2020-01-05,0.3,0.5,0.3,0.1,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.4,0.3,0.2,0.7,0.4
2020-01-06,0.3,0.5,0.2,0.1,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.4,0.3,0.2,0.6,0.4
2020-01-07,0.4,0.5,0.2,0.1,0.0,,0.3,0.4444444444444444,0.6,0.3,0.2,0.0,0.7,0.0,0.3,0.3,0.2,0.6,0.4
2020-01-08,0.4,0.5,0.2,0.1,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-09,0.4,0.5,0.2,0.1,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.5
2020-01-10,0.4,0.5,0.2,0.1,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.4,0.3,0.1,0.6,0.4
2020-01-11,0.4,0.5,0.2,0.1,0.0,,0.2,0.4444444444444444,0.6,0.3,0.2,0.0,0.7,0.0,0.4,0.3,0.1,0.6,0.4
2020-01-12,0.4,0.5,0.2,0.1,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.6,0.4
2020-01-13,0.4,0.5,0.2,0.1,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-14,0.4,0.5,0.3,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-15,0.4,0.5,0.3,0.1,0.0,,0.0,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-16,0.4,0.5,0.3,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.6,0.4
2020-01-17,0.4,0.5,0.3,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.6,0.4
2020-01-18,0.4,0.5,0.3,0.0,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.6,0.4
2020-01-19,0.4,0.5,0.3,0.0,0.0,,0.3,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.6,0.4
2020-01-20,0.4,0.5,0.3,0.0,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.4,0.3,0.1,0.6,0.4
2020-01-21,0.4,0.5,0.2,0.0,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-22,0.6,0.5,0.2,0.1,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-23,0.7,0.5,0.2,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.1,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-24,0.8,0.5,0.2,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-25,0.7,0.5,0.2,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-26,0.8,0.5,0.3,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-27,0.8,0.5,0.2,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-28,0.8,0.5,0.2,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-01-29,0.8,0.5,0.3,0.1,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
