date,B001NP8JZY,B001VZ85KU,B0027USRCO,B00286NGAA,B002EVP5OE,B002Y46R0M,B004KQ9JHK,B00CQM6QBM,B00GTC92XY,B00M5BVUOW
2011-03-24,,,146.13,,25.93,,,,,
2011-03-25,,,146.13,,25.93,,,,,
2011-03-26,,,146.13,,25.93,,,,,
2011-03-27,,,146.13,,25.93,,,,,
2011-03-28,,,146.13,,25.93,,,,,
2011-03-29,,,146.13,,25.93,,,,,
2011-03-30,,,146.13,,25.93,,,,,
2011-03-31,,,146.13,,25.93,,,,,
2011-04-01,,,146.13,,25.93,,,,,
2011-04-02,,,146.13,,25.93,,,,,
2011-04-03,,,146.13,,25.93,,,,,
2011-04-04,,,146.13,,25.93,,,,,
2011-04-05,,,146.13,,25.93,,,,,
2011-04-06,,,146.13,,25.93,,,,,
2011-04-07,,,146.13,,25.93,,,,,
2011-04-08,,,146.13,,25.93,,,,,
2011-04-09,,,146.13,,25.93,,,,,
2011-04-10,,,146.13,,25.93,,,,,
2011-04-11,,,146.13,,25.93,,,,,
2011-04-12,,,146.13,,25.93,,,,,
2011-04-13,,,146.13,,25.93,,,,,
2011-04-14,,,146.13,,25.93,,,,,
2011-04-15,,,146.13,,25.93,,,,,
2011-04-16,,,146.13,,25.93,,,,,
2011-04-17,,,146.13,,25.93,,,,,
2011-04-18,,,146.13,,25.93,,,,,
2011-04-19,,,146.13,,25.93,,,,,
2011-04-20,,,146.13,,25.93,,,,,
2011-04-21,,,146.13,,25.93,,,,,
2011-04-22,,,146.13,,25.93,,,,,
2011-04-23,,,146.13,,25.93,,,,,
2011-04-24,,,146.13,,25.93,,,,,
2011-04-25,,,146.13,,25.93,,,,,
2011-04-26,,,146.13,,25.93,,,,,
2011-04-27,,,146.13,,25.93,,,,,
2011-04-28,,,146.13,,25.93,,,,,
2011-04-29,,,146.13,,25.93,,,,,
2011-04-30,,,146.13,,25.93,,,,,
2011-05-01,,,146.13,,25.93,,,,,
2011-05-02,,,146.13,,25.93,,,,,
2011-05-03,,,146.13,,25.93,,,,,
2011-05-04,,,146.13,,25.93,,,,,
2011-05-05,,,146.13,,25.93,,,,,
2011-05-06,,,146.13,,25.93,,,,,
2011-05-07,,,146.13,,25.93,,,,,
2011-05-08,,,146.13,,25.93,,,,,
2011-05-09,,,146.13,,25.93,,,,,
2011-05-10,,,146.13,,25.93,,,,,
2011-05-11,,,146.13,,25.93,,,,,
2011-05-12,,,146.13,,25.93,,,,,
2011-05-13,,,146.13,,25.93,,,,,
2011-05-14,,,146.13,,25.93,,,,,
2011-05-15,,,146.13,,25.93,,,,,
2011-05-16,,,146.13,,25.93,,,,,
2011-05-17,,,146.13,,25.93,,,,,
2011-05-18,,,146.13,,25.93,,,,,
2011-05-19,,,146.13,,25.93,,,,,
2011-05-20,,,146.13,,25.93,,,,,
2011-05-21,,,146.13,,25.93,,,,,
2011-05-22,,,146.13,,25.93,,,,,
2011-05-23,,,146.13,,25.93,,,,,
2011-05-24,,,146.13,,25.93,,,,,
2011-05-25,,,146.13,,25.93,,,,,
2011-05-26,,,146.13,,25.93,,,,,
2011-05-27,,,146.13,,25.93,,,,,
2011-05-28,,,146.13,,25.93,,,,,
2011-05-29,,,146.13,,25.93,,23.79,,,
