date,B000CDHZEY,B002TACI6I,B005HG9ERW,B005HG9ESG,B00COR1HHW,B00LLKWVL4,B01BR0AW2W,B01JTXE17Q,B01JTXE1AI,B01LYLM8JJ
2014-08-31,,,,,,,,,,
2014-09-03,,,,,,,,,,
2015-01-10,,,,,,,,,,
2015-01-11,,,,,,,,,,
2015-01-12,,,,,,,,,,
2015-01-13,,,,,,,,,,
2015-01-14,,,,,,,,,,
2015-01-15,,,,,,,,,,
2015-01-16,,,,,,,,,,
2015-01-17,,,,,,,,,,
2015-01-18,,,,,,,,,,
2015-01-19,,,,,,,,,,
2015-01-20,,,,,,,,,,
2015-01-21,,,,,,,,,,
2015-01-22,,,,,,,,,,
2015-01-23,,,,,,,,,,
2015-01-24,,,,,,,,,,
2015-01-25,,,,,,,,,,
2015-01-26,,,,,,,,,,
2015-01-27,,,,,,,,,,
2015-01-28,,,,,,,,,,
2015-01-29,,,,,,,,,,
2015-01-30,,,,,,,,,,
2015-01-31,,,,,,,,,,
2015-02-01,,,,,,,,,,
2015-02-02,,,,,,,,,,
2015-02-03,,,,,,,,,,
2015-02-04,,,,,,,,,,
2015-02-05,,,,,,,,,,
2015-02-06,,,,,,,,,,
2015-02-07,,,,,,,,,,
2015-02-08,,,,,,,,,,
2015-02-09,,,,,,,,,,
2015-02-10,,,,,,,,,,
2015-02-11,,,,,,,,,,
2015-02-12,,,,,,,,,,
2015-02-13,,,,,,,,,,
2015-02-14,,,,,,,,,,
2015-02-15,,,,,,,,,,
2015-02-16,,,,,,,,,,
2015-02-17,,,,,,,,,,
2015-02-18,,,,,,,,,,
2015-02-19,,,,,,,,,,
2015-02-20,,,,,,,,,,
2015-02-21,,,,,,,,,,
2015-02-22,,,,,,,,,,
2015-02-23,,,,,,,,,,
2015-02-24,,,,,,,,,,
2015-02-25,,,,,,,,,,
2015-02-26,,,,,,,,,,
2015-02-27,,,,,,,,,,
2015-02-28,,,,,,,,,,
2015-03-01,,,,,,,,,,
2015-03-02,,,,,,,,,,
2015-03-03,,,,,,,,,,
2015-03-04,,,,,,,,,,
2015-03-05,,,,,,,,,,
2015-03-06,,,,,,,,,,
2015-03-07,,,,,,,,,,
2015-03-08,,,,,,,,,,
2015-03-09,,,,,,,,,,
2015-03-10,,,,,,,,,,
2015-03-11,,,,,,,,,,
2015-03-12,,,,,,,,,,
2015-03-13,,,,,,,,,,
2015-03-14,,,,,,,,,,
2015-03-15,,,,,,,,,,
2015-03-16,,,,,,,,,,
2015-03-17,,,,,,,,,,
2015-03-18,,,,,,,,,,
2015-03-19,,,,,,,,,,
2015-03-20,,,,,,,,,,
2015-03-21,,,,,,,,,,
2015-03-22,,,,,,,,,,
2015-03-23,,,,,,,,,,
2015-03-24,,,,,,,,,,
2015-03-25,,,,,,,,,,
2015-03-26,,,,33.08,,,,,,
2015-03-27,,,,33.08,,,,,,
2015-03-28,,,,33.08,,,,,,
2015-03-29,,,,33.08,,,,,,
2015-03-30,,,,33.08,,,,,,
2015-03-31,,,,33.08,,,,,,
2015-04-01,,,,33.08,,,,,,
2015-04-02,,,,33.08,,,,,,
2015-04-03,,,,25.99,,,,,,
2015-04-04,,,,25.99,,,,,,
2015-04-05,,,,25.99,,,,,,
2015-04-06,,,,25.99,,,,,,
2015-04-07,,,,25.99,,,,,,
2015-04-08,,,,25.99,,,,,,
2015-04-09,,,,25.99,,,,,,
2015-04-10,,,,25.99,,,,,,
2015-04-11,,,,25.99,,,,,,
2015-04-12,,,,25.99,,,,,,
2015-04-13,,,,25.99,,,,,,
2015-04-14,,,,25.99,,,,,,
2015-04-15,,,,25.99,,,,,,
2015-04-16,,,,25.99,,,,,,
2015-04-17,,,,25.99,,,,,,
2015-04-18,,,,25.99,,,,,,
2015-04-19,,,,25.99,,,,,,
2015-04-20,,,,25.99,,,,,,
2015-04-21,,,31.0,25.99,,,,,,
2015-04-22,,,31.0,25.99,,,,,,
2015-04-23,,,31.0,25.99,,,,,,
2015-04-24,,,31.0,25.99,,,,,,
2015-04-25,,,31.0,25.99,,,,,,
2015-04-26,,,31.0,25.99,,,,,,
2015-04-27,,,31.0,25.99,,,,,,
2015-04-28,,,31.0,25.99,,,,,,
2015-04-29,,,31.0,25.99,,,,,,
2015-04-30,,,31.0,25.99,,,,,,
2015-05-01,,,31.0,25.99,,,,,,
2015-05-02,,,31.0,25.99,,,,,,
2015-05-03,,,31.0,25.99,,,,,,
2015-05-04,,,31.0,25.99,,,,,,
2015-05-05,,,31.0,25.99,,,,,,
2015-05-06,,,31.0,25.99,,,,,,
