date,1088735010,1423600274,B0009X2A6K,B000LVM4SY,B000LVNZUK,B000LVNZYG,B000LVQKKC,B00188VHOG,B0018CG2DI,B0018CIP10
2011-03-24,,,,,,,,,27.29,27.29
2011-03-25,,,,,,,,,27.29,27.29
2011-03-26,,9.95,,,,,,,27.29,27.29
2011-03-27,,9.95,,,,,,,27.29,27.29
2011-03-28,,9.95,,,,,,,27.29,27.29
2011-03-29,,9.95,,,,,,,27.29,27.29
2011-03-30,,9.95,,,,,,,27.29,27.29
2011-03-31,,9.95,,,,,,,27.29,27.29
2011-04-01,,9.95,,,,,,,27.29,27.29
2011-04-02,,9.95,,,,,,,27.29,27.29
2011-04-03,,9.95,,,,,,,27.29,27.29
2011-04-04,,9.95,,,,,,,27.29,27.29
2011-04-05,,9.95,,,,,,,27.29,27.29
2011-04-06,,9.95,,,,,,,27.29,27.29
2011-04-07,,9.95,,,,,,,27.29,27.29
2011-04-08,,9.95,,,,,,,27.29,27.29
2011-04-09,,9.95,,,,,,,27.29,27.29
2011-04-10,,9.95,,,,,,,27.29,27.29
2011-04-11,,9.95,,,,,,,27.29,27.29
2011-04-12,,9.95,,,,,,,27.29,27.29
2011-04-13,,9.95,,,,,,,27.29,27.29
2011-04-14,,9.95,,,,,,,27.29,27.29
2011-04-15,,9.95,,,,,,,27.29,27.29
2011-04-16,,9.95,,,,,,,27.29,27.29
2011-04-17,,9.95,,,,,,,27.29,27.29
2011-04-18,,9.95,,,,,,,27.29,27.29
2011-04-19,,9.95,,,,,,,27.29,27.29
2011-04-20,,9.95,,,,,,,27.29,27.29
2011-04-21,,9.95,,,,,,,27.29,27.29
2011-04-22,,9.95,,,,,,,27.29,27.29
2011-04-23,,9.95,,,,,,,27.29,27.29
2011-04-24,,9.95,,,,,,,27.29,27.29
2011-04-25,,9.95,,,,,,,27.29,27.29
2011-04-26,,9.95,,,,,,,27.29,27.29
2011-04-27,,9.95,,,,,,,27.29,27.29
2011-04-28,,9.95,,,,,,,27.29,27.29
2011-04-29,,9.95,,,,,,,27.29,27.29
2011-04-30,,9.95,,,,,,,27.29,27.29
2011-05-01,,9.95,,,,,,,27.29,27.29
2011-05-02,,9.95,,,,,,,27.29,27.29
2011-05-03,,9.95,,,,,,,27.29,27.29
2011-05-04,,9.95,,,,,,,27.29,27.29
2011-05-05,,9.95,,,,,,,27.29,27.29
2011-05-06,,9.95,,,,,,,27.29,27.29
