date,B000VB0C4M,B000ZOQ9HY,B0014COKYU,B004Z45W9G,B00BAKMTG2,B00BAN94A8,B00GYRBXCM,B00GYRBY1M,B00IS8HTRS,B00T1S16NC
2011-03-26,,,9.74,,,,,,,
2011-03-27,,,9.72,,,,,,,
2011-03-28,,,9.72,,,,,,,
2011-03-29,,,9.76,,,,,,,
2011-03-30,,,9.82,,,,,,,
2011-03-31,,,9.82,,,,,,,
2011-04-01,,,9.82,,,,,,,
2011-04-02,,,9.68,,,,,,,
2011-04-03,,,9.68,,,,,,,
2011-04-04,,,9.58,,,,,,,
2011-04-05,,,9.56,,,,,,,
2011-04-06,,,9.49,,,,,,,
2011-04-07,,,9.49,,,,,,,
2011-04-08,,,9.51,,,,,,,
2011-04-09,,,9.51,,,,,,,
2011-04-10,,,9.485,,,,,,,
2011-04-11,,,9.485,,,,,,,
2011-04-12,,,9.44,,,,,,,
2011-04-13,,,9.49,,,,,,,
2011-04-14,,,9.51,,,,,,,
2011-04-15,,,9.53,,,,,,,
2011-04-16,,,9.56,,,,,,,
2011-04-17,,,9.56,,,,,,,
2011-04-18,,,9.58,,,,,,,
2011-04-19,,,9.53,,,,,,,
2011-04-20,,,9.57,,,,,,,
2011-04-21,,,9.57,,,,,,,
2011-04-22,,,9.65,,,,,,,
2011-04-23,,,9.56,,,,,,,
2011-04-24,,,9.56,,,,,,,
2011-04-25,,,9.51,,,,,,,
2011-04-26,,,9.42,,,,,,,
2011-04-27,,,9.36,,,,,,,
2011-04-28,,,9.33,,,,,,,
2011-04-29,,,9.33,,,,,,,
2011-04-30,,,9.33,,,,,,,
2011-05-01,,,9.155,,,,,,,
2011-05-02,,,9.12,,,,,,,
2011-05-03,,,9.12,,,,,,,
2011-05-04,,,9.11,,,,,,,
2011-05-05,,,9.11,,,,,,,
2011-05-06,,,9.18,,,,,,,
2011-05-07,,,9.2,,,,,,,
2011-05-08,,,9.2,,,,,,,
2011-05-09,,,9.2,,,,,,,
2011-05-10,,,9.14,,,,,,,
2011-05-11,,,9.14,,,,,,,
2011-05-12,,,9.14,,,,,,,
2011-05-13,,,9.14,,,,,,,
2011-05-14,,,9.14,,,,,,,
2011-05-15,,,9.14,,,,,,,
2011-05-16,,,9.27,,,,,,,
2011-05-17,,,9.27,,,,,,,
2011-05-18,,,9.27,,,,,,,
2011-05-19,,,9.25,,,,,,,
2011-05-20,,,9.245000000000001,,,,,,,
2011-05-21,,,9.33,,,,,,,
2011-05-22,,,9.33,,,,,,,
2011-05-23,,,9.33,,,,,,,
2011-05-24,,,9.34,,,,,,,
2011-05-25,,,9.34,,,,,,,
2011-05-26,,,9.42,,,,,,,
2011-05-27,,,9.45,,,,,,,
2011-05-28,,,9.45,,,,,,,
2011-05-29,,,9.43,,,,,,,
2011-05-30,,,9.38,,,,,,,
2011-05-31,,,9.38,,,,,,,
2011-06-01,,,9.38,,,,,,,
2011-06-02,,,9.43,,,,,,,
2011-06-03,,,9.43,,,,,,,
2011-06-04,,,9.38,,,,,,,
2011-06-05,,,9.38,,,,,,,
2011-06-06,,,9.38,,,,,,,
2011-06-07,,,9.38,,,,,,,
2011-06-08,,,9.38,,,,,,,
2011-06-09,,,9.44,,,,,,,
2011-06-10,,,9.44,,,,,,,
2011-06-11,,,9.425,,,,,,,
2011-06-12,,,9.425,,,,,,,
2011-06-13,,,9.425,,,,,,,
2011-06-14,,,9.425,,,,,,,
2011-06-15,,,9.33,,,,,,,
2011-06-16,,,9.33,,,,,,,
2011-06-17,,,9.33,,,,,,,
2011-06-18,,,9.29,,,,,,,
2011-06-19,,,9.29,,,,,,,
2011-06-20,,,9.29,,,,,,,
2011-06-21,,,9.29,,,,,,,
2011-06-22,,,9.29,,,,,,,
2011-06-23,,,9.29,,,,,,,
2011-06-24,,,9.29,,,,,,,
2011-06-25,,,9.29,,,,,,,
2011-06-26,,,9.29,,,,,,,
2011-06-27,,,9.29,,,,,,,
2011-06-28,,,9.29,,,,,,,
2011-06-29,,,9.29,,,,,,,
2011-06-30,,,9.29,,,,,,,
2011-07-01,,,9.29,,,,,,,
2011-07-02,,,9.29,,,,,,,
2011-07-03,,,9.29,,,,,,,
2011-07-04,,,9.29,,,,,,,
2011-07-05,,,9.29,,,,,,,
2011-07-06,,,9.29,,,,,,,
2011-07-07,,,9.29,,,,,,,
2011-07-08,,,9.29,,,,,,,
2011-07-09,,,9.29,,,,,,,
2011-07-10,,,9.29,,,,,,,
2011-07-11,,,9.29,,,,,,,
2011-07-12,,,9.29,,,,,,,
2011-07-13,,,9.29,,,,,,,
2011-07-14,,,9.29,,,,,,,
2011-07-15,,,9.29,,,,,,,
2011-07-16,,,9.29,,,,,,,
2011-07-17,,,9.29,,,,,,,
2011-07-18,,,9.29,,,,,,,
2011-07-19,,,9.66,,,,,,,
2011-07-20,,,9.66,,,,,,,
2011-07-21,,,9.66,,,,,,,
2011-07-22,,,9.66,,,,,,,
2011-07-23,,,9.66,,,,,,,
2011-07-24,,,9.66,,,,,,,
2011-07-25,,,9.66,,,,,,,
2011-07-26,,,9.66,,,,,,,
2011-07-27,,,9.66,,,,,,,
2011-07-28,,,9.66,,,,,,,
2011-07-29,,,9.66,,,,,,,
2011-07-30,,,9.66,,,,,,,
2011-07-31,,,9.66,,,,,,,
2011-08-01,,,9.66,,,,,,,
2011-08-02,,,9.66,,,,,,,
2011-08-03,,,9.66,,,,,,,
2011-08-04,,,9.66,,,,,,,
2011-08-05,,,9.66,,,,,,,
2011-08-06,,,9.66,,,,,,,
2011-08-07,,,9.97,,,,,,,
2011-08-08,,,9.97,,,,,,,
2011-08-09,,,9.93,,,,,,,
2011-08-10,,,9.93,,,,,,,
2011-08-11,,,9.93,,,,,,,
2011-08-12,,,9.91,,,,,,,
2011-08-13,,,9.91,,,,,,,
2011-08-14,,,9.91,,,,,,,
2011-08-15,,,9.95,,,,,,,
2011-08-16,,,9.95,,,,,,,
2011-08-17,,,9.95,,,,,,,
2011-08-18,,,9.95,,,,,,,
2011-08-19,,,9.95,,,,,,,
2011-08-20,,,9.95,,,,,,,
2011-08-21,,,9.95,,,,,,,
2011-08-22,,,9.95,,,,,,,
2011-08-23,,,9.885,,,,,,,
2011-08-24,,,9.885,,,,,,,
2011-08-25,,,9.91,,,,,,,
2011-08-26,,,9.94,,,,,,,
2011-08-27,,,10.06,,,,,,,
2011-08-28,,,10.06,,,,,,,
2011-08-29,,,10.06,,,,,,,
2011-08-30,,,10.09,,,,,,,
2011-08-31,,,10.09,,,,,,,
2011-09-01,,,10.08,,,,,,,
2011-09-02,,,10.07,,,,,,,
2011-09-03,,,10.1,,,,,,,
2011-09-04,,,10.12,,,,,,,
2011-09-05,,,10.14,,,,,,,
2011-09-06,,,10.14,,,,,,,
2011-09-07,,,10.21,,,,,,,
2011-09-08,,,10.29,,,,,,,
2011-09-09,,,10.38,,,,,,,
2011-09-10,,,10.38,,,,,,,
2011-09-11,,,10.4,,,,,,,
2011-09-12,,,10.46,,,,,,,
2011-09-13,,,10.46,,,,,,,
2011-09-14,,,10.46,,,,,,,
2011-09-15,,,10.44,,,,,,,
2011-09-16,,,10.36,,,,,,,
2011-09-17,,,10.305,,,,,,,
2011-09-18,,,10.35,,,,,,,
2011-09-19,,,10.35,,,,,,,
2011-09-20,,,10.31,,,,,,,
2011-09-21,,,10.32,,,,,,,
2011-09-22,,,10.41,,,,,,,
2011-09-23,,,10.41,,,,,,,
2011-09-24,,,10.45,,,,,,,
2011-09-25,,,10.46,,,,,,,
2011-09-26,,,10.46,,,,,,,
2011-09-27,,,10.4,,,,,,,
2011-09-28,,,10.43,,,,,,,
2011-09-29,,,10.43,,,,,,,
2011-09-30,,,10.415,,,,,,,
2011-10-01,,,10.415,,,,,,,
2011-10-02,,,10.415,,,,,,,
2011-10-03,,,10.43,,,,,,,
2011-10-04,,,10.43,,,,,,,
2011-10-05,,,10.43,,,,,,,
2011-10-06,,,10.43,,,,,,,
2011-10-07,,,10.43,,,,,,,
2011-10-08,,,10.43,,,,,,,
2011-10-09,,,10.43,,,,,,,
2011-10-10,,,10.43,,,,,,,
2011-10-11,,,10.43,,,,,,,
2011-10-12,,,10.41,,,,,,,
2011-10-13,,,10.41,,,,,,,
2011-10-14,,,10.41,,,,,,,
2011-10-15,,,10.41,,,,,,,
2011-10-16,,,10.41,,,,,,,
2011-10-17,,,10.41,,,,,,,
2011-10-18,,,10.41,,,,,,,
2011-10-19,,,10.4,,,,,,,
2011-10-20,,,10.41,,,,,,,
2011-10-21,,,9.9275,,,,,,,
2011-10-22,,,8.73,,,,,,,
2011-10-23,,,9.185,,,,,,,
2011-10-24,,,9.955,,,,,,,
2011-10-25,,,9.616666666666665,,,,,,,
2011-10-26,,,9.856666666666667,,,,,,,
2011-10-27,,,9.555,,,,,,,
2011-10-28,,,8.9,,,,,,,
2011-10-29,,,9.717500000000001,,,,,,,
2011-10-30,,,9.004999999999999,,,,,,,
2011-10-31,,,9.105,,,,,,,
2011-11-01,,,10.35,,,,,,,
2011-11-02,,,10.35,,,,,,,
2011-11-03,,,10.35,,,,,,,
2011-11-04,,,10.35,,,,,,,
2011-11-05,,,10.34,,,,,,,
2011-11-06,,,10.34,,,,,,,
2011-11-07,,,10.33,,,,,,,
2011-11-08,,,10.33,,,,,,,
2011-11-09,,,10.31,,,,,,,
2011-11-10,,,10.31,,,,,,,
2011-11-11,,,10.31,,,,,,,
2011-11-12,,,10.31,,,,,,,
2011-11-13,,,10.31,,,,,,,
2011-11-14,,,10.31,,,,,,,
2011-11-15,,,10.31,,,,,,,
2011-11-16,,,10.29,,,,,,,
2011-11-17,,,10.28,,,,,,,
2011-11-18,,,10.28,,,,,,,
2011-11-19,,,10.265,,,,,,,
2011-11-20,,,10.265,,,,,,,
2011-11-21,,,10.265,,,,,,,
2011-11-22,,,10.265,,,,,,,
2011-11-23,,,10.25,,,,,,,
2011-11-24,,,10.25,,,,,,,
2011-11-25,,,10.27,,,,,,,
2011-11-26,,,10.27,,,,,,,
2011-11-27,,,10.27,,,,,,,
2011-11-28,,,10.29,,,,,,,
2011-11-29,,,10.29,,,,,,,
2011-11-30,,,9.73,,,,,,,
2011-12-01,,,9.73,,,,,,,
2011-12-02,,,9.765,,,,,,,
2011-12-03,,,9.8,,,,,,,
2011-12-04,,,9.78,,,,,,,
2011-12-05,,,9.78,,,,,,,
2011-12-06,,,9.71,,,,,,,
2011-12-07,,,9.67,,,,,,,
2011-12-08,,,9.66,,,,,,,
2011-12-09,,,9.66,,,,,,,
2011-12-10,,,9.66,,,,,,,
2011-12-11,,,9.629999999999999,,,,,,,
2011-12-12,,,9.629999999999999,,,,,,,
2011-12-13,,,9.629999999999999,,,,,,,
2011-12-14,,,9.795,,,,,,,
2011-12-15,,,9.795,,,,,,,
2011-12-16,,,9.835,,,,,,,
2011-12-17,,,9.74,,,,,,,
2011-12-18,,,9.79,,,,,,,
2011-12-19,,,9.79,,,,,,,
2011-12-20,,,9.72,,,,,,,
2011-12-21,,,9.72,,,,,,,
2011-12-22,,,9.7,,,,,,,
2011-12-23,,,8.84,,,,,,,
2011-12-24,,,8.84,,,,,,,
2011-12-25,,,8.84,,,,,,,
2011-12-26,,,8.84,,,,,,,
2011-12-27,,,8.84,,,,,,,
2011-12-28,,,9.76,,,,,,,
2011-12-29,,,9.76,,,,,,,
2011-12-30,,,9.785,,,,,,,
2011-12-31,,,9.67,,,,,,,
2012-01-01,,,9.25,,,,,,,
2012-01-02,,,9.25,,,,,,,
2012-01-03,,,9.96,,,,,,,
2012-01-04,,,9.96,,,,,,,
2012-01-05,,,9.96,,,,,,,
2012-01-06,,,10.01,,,,,,,
2012-01-07,,,10.13,,,,,,,
2012-01-08,,,9.64,,,,,,,
