date,B000BCZ8JU,B001GQ3GEY,B002FS4VJQ,B006YPQ7XY,B0084AWBRS,B00A4N8JJM,B00H4INPO4,B00H4INPPI,B01G7QXQV0,B01LPT25A2
2011-03-24,42.46,,,,,,,,,
2011-03-25,42.46,,,,,,,,,
2011-03-26,42.46,,,,,,,,,
2011-03-27,42.46,,,,,,,,,
2011-03-28,42.46,,,,,,,,,
2011-03-29,42.46,,,,,,,,,
2011-03-30,42.46,,,,,,,,,
2011-03-31,42.46,,,,,,,,,
2011-04-01,42.46,,,,,,,,,
2011-04-02,42.46,,,,,,,,,
2011-04-03,42.46,,,,,,,,,
2011-04-04,42.46,,,,,,,,,
2011-04-05,42.46,,,,,,,,,
2011-04-06,42.46,,,,,,,,,
2011-04-07,42.46,,,,,,,,,
2011-04-08,44.5,,,,,,,,,
2011-04-09,44.5,,,,,,,,,
2011-04-10,42.62,,15.5,,,,,,,
2011-04-11,42.62,,15.5,,,,,,,
2011-04-12,42.62,,15.5,,,,,,,
2011-04-13,42.62,,15.5,,,,,,,
2011-04-14,44.5,,15.5,,,,,,,
2011-04-15,44.5,,15.5,,,,,,,
2011-04-16,44.5,,15.5,,,,,,,
2011-04-17,44.5,,15.5,,,,,,,
2011-04-18,44.5,,15.5,,,,,,,
2011-04-19,44.5,,15.5,,,,,,,
2011-04-20,44.5,,15.5,,,,,,,
2011-04-21,44.5,,15.5,,,,,,,
2011-04-22,44.5,,15.5,,,,,,,
2011-04-23,44.5,,15.5,,,,,,,
2011-04-24,44.5,,15.5,,,,,,,
2011-04-25,44.5,,15.5,,,,,,,
2011-04-26,44.5,,15.5,,,,,,,
2011-04-27,44.5,,15.5,,,,,,,
2011-04-28,44.5,,15.5,,,,,,,
2011-04-29,44.5,,15.5,,,,,,,
2011-04-30,42.62,,15.5,,,,,,,
2011-05-01,42.62,,15.5,,,,,,,
2011-05-02,42.62,,15.5,,,,,,,
2011-05-03,42.62,,15.5,,,,,,,
2011-05-04,42.62,,15.5,,,,,,,
2011-05-05,42.62,,15.5,,,,,,,
2011-05-06,42.62,,15.5,,,,,,,
2011-05-07,42.62,,15.5,,,,,,,
2011-05-08,42.62,,15.5,,,,,,,
2011-05-09,42.62,,15.5,,,,,,,
2011-05-10,42.62,,15.5,,,,,,,
2011-05-11,42.62,,15.5,,,,,,,
2011-05-12,42.62,,15.5,,,,,,,
2011-05-13,42.62,,15.5,,,,,,,
2011-05-14,42.62,,15.5,,,,,,,
2011-05-15,42.62,,15.5,,,,,,,
2011-05-16,42.62,,9.77,,,,,,,
2011-05-17,42.62,,9.77,,,,,,,
2011-05-18,40.77,,9.77,,,,,,,
2011-05-19,40.77,,9.77,,,,,,,
2011-05-20,40.77,,9.77,,,,,,,
2011-05-21,40.77,,9.77,,,,,,,
2011-05-22,42.62,,9.77,,,,,,,
2011-05-23,42.62,,9.77,,,,,,,
2011-05-24,42.62,,9.77,,,,,,,
2011-05-25,42.62,,9.77,,,,,,,
2011-05-26,42.62,,9.77,,,,,,,
2011-05-27,42.62,,9.77,,,,,,,
2011-05-28,42.62,,9.77,,,,,,,
2011-05-29,42.62,,9.77,,,,,,,
2011-05-30,42.62,,9.77,,,,,,,
2011-05-31,42.62,,9.77,,,,,,,
2011-06-01,42.62,,9.77,,,,,,,
2011-06-02,42.62,,9.77,,,,,,,
2011-06-03,42.62,,9.77,,,,,,,
2011-06-04,42.62,,9.77,,,,,,,
2011-06-05,39.99,,9.77,,,,,,,
2011-06-06,39.99,,9.77,,,,,,,
2011-06-07,39.99,,9.77,,,,,,,
2011-06-08,39.99,,9.77,,,,,,,
2011-06-09,39.99,,9.77,,,,,,,
2011-06-10,39.99,,9.77,,,,,,,
2011-06-11,39.99,,9.77,,,,,,,
2011-06-12,39.99,,9.77,,,,,,,
2011-06-13,39.99,,9.77,,,,,,,
2011-06-14,39.99,,9.77,,,,,,,
2011-06-15,39.99,,9.77,,,,,,,
2011-06-16,39.99,,9.77,,,,,,,
2011-06-17,39.99,,9.77,,,,,,,
2011-06-18,39.99,,9.77,,,,,,,
2011-06-19,39.99,,9.77,,,,,,,
2011-06-20,39.99,,9.77,,,,,,,
2011-06-21,39.99,,9.77,,,,,,,
2011-06-22,39.99,,9.77,,,,,,,
2011-06-23,39.99,,9.77,,,,,,,
2011-06-24,39.99,,9.77,,,,,,,
2011-06-25,42.62,,9.77,,,,,,,
2011-06-26,42.62,,9.77,,,,,,,
2011-06-27,42.62,,9.77,,,,,,,
2011-06-28,42.62,,9.77,,,,,,,
2011-06-29,42.62,,9.77,,,,,,,
2011-06-30,42.62,,9.77,,,,,,,
2011-07-01,42.62,,9.77,,,,,,,
2011-07-02,42.62,,9.77,,,,,,,
2011-07-03,42.62,,9.77,,,,,,,
2011-07-04,42.62,,9.77,,,,,,,
2011-07-05,42.62,,9.77,,,,,,,
2011-07-06,42.62,,9.77,,,,,,,
2011-07-07,42.62,,9.77,,,,,,,
