date,B000AS45LC,B000NSTYOC,B000VWKIKO,B002ECZEVM,B002GELXJK,B003A874R6,B003AYEGG2,B003AYEGGM,B004BYSR6K,B004INIW1Y
2011-03-24,,24.27,,,,,,,,
2011-03-25,,24.27,,,,,,,,
2011-03-26,,24.27,,,,,13.03,,,
2011-03-27,,24.27,,,,,13.03,,,
2011-03-28,,24.27,,,,,13.03,,,
2011-03-29,,24.27,,,,,13.03,,,
2011-03-30,,24.27,,,,,13.03,,,
2011-03-31,,24.27,,,,,13.03,,,
2011-04-01,,24.27,,,,,13.03,,,
2011-04-02,,24.27,,,,,13.03,,,
2011-04-03,,24.27,,,,,13.03,,,
2011-04-04,,24.27,,,,,13.03,,,
2011-04-05,,24.27,,,,,13.03,,,
2011-04-06,,24.27,,,,,13.03,,,
2011-04-07,,24.27,,,,,13.03,,,
2011-04-08,,24.27,,,,,13.03,,,
2011-04-09,,24.27,,,,,13.03,,,
2011-04-10,,24.27,,,,,13.03,,,
2011-04-11,,24.27,,,,,13.03,,,
2011-04-12,,24.27,,,,,13.03,,,
2011-04-13,,24.27,,,,,13.03,,,
2011-04-14,,24.27,,,,,13.03,,,
2011-04-15,,24.27,,,,,13.03,,,
2011-04-16,,24.27,,,,,13.03,,,
2011-04-17,,24.27,,,,,13.03,,,
2011-04-18,,24.27,,,,,13.03,,,
2011-04-19,,24.27,,,,,13.03,,,
2011-04-20,,24.27,,,,,13.03,,,
2011-04-21,,24.27,,,,,13.03,,,
2011-04-22,,24.27,,,,,13.03,,,
2011-04-23,,24.27,,,,,13.03,,,
2011-04-24,,24.27,,,,,13.03,,,
2011-04-25,,24.27,,,,,13.03,,,
2011-04-26,,24.27,,,,6.97,13.03,,,
2011-04-27,,24.27,,,,6.97,13.03,,,
2011-04-28,,24.27,,,,6.97,13.03,,,
2011-04-29,,24.27,,,,6.97,13.03,,,
2011-04-30,,24.27,,,,6.97,13.03,,,
2011-05-01,,24.27,,,,6.97,13.03,,,
2011-05-02,,24.27,,,,6.97,13.03,,,
2011-05-03,,24.27,,,,6.97,13.03,,,
2011-05-04,,24.27,,,,6.97,13.03,,,
2011-05-05,,24.27,,,,6.97,13.03,,,
2011-05-06,,24.27,,,,6.97,13.03,,,
2011-05-07,,24.27,,,,6.97,13.03,,,
2011-05-08,,24.27,,,,6.97,13.03,,,
2011-05-09,,24.27,,,,6.97,13.03,,,
2011-05-10,,24.27,,,,6.97,13.03,,,
2011-05-11,,24.27,,,,6.97,13.03,,,
2011-05-12,,24.27,,,,6.97,11.52,,,
2011-05-13,,24.27,,,,6.97,11.52,,,
2011-05-14,,24.27,,,,6.97,11.52,,,
2011-05-15,,24.27,,,,6.97,11.52,,,
2011-05-16,,24.27,,,,6.97,11.52,,,
2011-05-17,,24.27,,,,6.97,11.52,,,
2011-05-18,,24.27,,,,6.97,11.52,,,
2011-05-19,,24.27,,,,6.97,11.52,,,
2011-05-20,,24.27,,,,6.97,11.52,,,
2011-05-21,,24.27,,,,6.97,11.52,,,
2011-05-22,,24.27,,,,6.97,11.52,,,
2011-05-23,,24.27,,,,6.97,11.52,,,
2011-05-24,,24.27,,,,6.97,11.52,,,
2011-05-25,,24.27,,,,6.97,11.52,,,
2011-05-26,,24.27,,,,6.97,11.52,,,
2011-05-27,,24.27,,,,6.97,11.52,,,
2011-05-28,,24.27,,,,6.97,11.52,,,
2011-05-29,,24.27,,,,6.97,11.52,,,
2011-05-30,,24.27,,,,6.97,11.52,,,
2011-05-31,,24.27,,,,6.97,11.52,,,
2011-06-01,,24.27,,,,6.97,11.52,,,
2011-06-02,,24.27,,,,6.97,11.52,,,
2011-06-03,,24.27,,,,6.97,11.52,,,
2011-06-04,,24.27,,,,6.97,11.52,,,
2011-06-05,,24.27,,,,6.97,11.52,,,
2011-06-06,,24.27,,,,6.97,11.52,,,
2011-06-07,,24.27,,,,6.97,11.52,,,
2011-06-08,,24.27,,,,6.97,11.52,,,
2011-06-09,,24.27,,,,6.97,11.52,,,
2011-06-10,,24.27,,,,6.97,11.52,,,
2011-06-11,,24.27,,,,6.97,11.52,,,
2011-06-12,,24.27,,,,6.97,11.52,,,
2011-06-13,,24.27,,,,6.97,11.52,,,
2011-06-14,,24.27,,,,6.97,11.52,,,
2011-06-15,,24.27,,,,6.97,11.52,,,
2011-06-16,,24.27,,,,6.97,11.52,,,
2011-06-17,,24.27,,,,6.97,11.52,,,
2011-06-18,,24.27,,,,6.97,11.52,,,
2011-06-19,,24.27,,,,6.97,11.52,,,
2011-06-20,,24.27,,,,6.97,11.52,,,
2011-06-21,,24.27,,,,6.97,11.52,,,
2011-06-22,,24.27,,,,6.97,11.52,,,
2011-06-23,,24.27,,,,6.97,11.52,,,
2011-06-24,,24.27,,,,6.97,11.52,,,
2011-06-25,,24.27,,,,6.97,11.52,,,
2011-06-26,,24.27,,,,6.97,11.52,,,
2011-06-27,,24.27,,,,6.97,11.52,,,
2011-06-28,,24.27,,,,6.97,11.52,,,
2011-06-29,,24.27,,,,6.97,11.52,,,
2011-06-30,,24.27,,,,6.97,11.52,,,
2011-07-01,,24.27,,,,6.97,11.52,,,
2011-07-02,,24.27,,,,6.97,11.52,,,
2011-07-03,,24.27,,,,6.97,11.52,,,
2011-07-04,,24.27,,,,6.97,11.52,,,
2011-07-05,,24.27,,,,6.97,11.52,,,
2011-07-06,,24.27,,,,6.97,11.52,,,
2011-07-07,,24.27,,,,6.97,11.52,,,
2011-07-08,,24.27,,,,6.97,11.52,,,
2011-07-09,,24.27,,,,6.97,11.52,,,
2011-07-10,,24.27,,,,6.97,11.52,,,
2011-07-11,,24.27,,,,6.97,11.52,,,
2011-07-12,,24.27,,,,6.97,11.52,,,
2011-07-13,,24.27,,,,6.97,11.52,,,
2011-07-14,,24.27,,,,6.97,11.52,,,
2011-07-15,,24.27,,,,6.97,11.52,,,
2011-07-16,,24.27,,,,6.97,11.52,,,
2011-07-17,,24.27,,,,6.97,11.52,,,
2011-07-18,,24.27,,,,6.97,11.52,,,
2011-07-19,,24.27,,,,6.97,11.52,,,
2011-07-20,,24.27,,,,6.97,11.52,,,
2011-07-21,,24.27,,,,6.97,11.52,,,
2011-07-22,,24.27,,,,6.97,11.52,,,
2011-07-23,,24.27,,,,6.97,11.52,,,
2011-07-24,,24.27,,,,6.97,11.52,,,
2011-07-25,,24.27,,,,6.97,11.52,,,
2011-07-26,,24.27,,,,6.97,11.52,,,
2011-07-27,,24.27,,,,6.97,11.52,,,
2011-07-28,,24.27,,,,6.97,11.52,,,
2011-07-29,,24.27,,,,6.97,11.52,,,
2011-07-30,,24.27,,,,6.97,11.52,,,
2011-07-31,,24.27,,,,6.97,11.52,,,
2011-08-01,,24.27,,,,6.97,11.52,,,
2011-08-02,,24.27,,,,6.97,11.52,,,
2011-08-03,,24.27,,,,6.97,11.52,,,
2011-08-04,,24.27,,,,6.97,11.52,,,
2011-08-05,,23.21,,,,6.97,11.52,,,
2011-08-06,,23.21,,,,6.97,11.52,,,
2011-08-07,,23.21,,,,6.97,11.52,,,
2011-08-08,,23.21,,,,6.97,11.52,,,
2011-08-09,,23.21,,,,6.97,11.52,,,
2011-08-10,,23.21,,,,6.97,11.52,,,
2011-08-11,,23.21,,,,6.97,11.52,,,
2011-08-12,,23.21,,,,6.97,11.52,,,
2011-08-13,,23.21,,,,6.97,11.52,,,
2011-08-14,,23.21,,,,6.97,11.52,,,
2011-08-15,,23.21,,,,6.97,11.52,,,
2011-08-16,,23.21,,,,6.97,11.52,,,
2011-08-17,,23.21,,,,6.97,11.52,,,
2011-08-18,,23.21,,,,6.97,11.52,,,
2011-08-19,,23.21,,,,6.97,11.52,,,
2011-08-20,,23.21,,,,6.97,11.52,,,
2011-08-21,,23.21,,,,6.97,11.52,,,
2011-08-22,,23.21,,,,6.97,11.52,,,
2011-08-23,,23.21,,,,6.97,11.52,,,
2011-08-24,,23.21,,,,6.97,11.52,,,
2011-08-25,,20.25,,,,6.97,11.52,,,
2011-08-26,,20.25,,,,6.97,11.52,,,
2011-08-27,,20.25,,,,6.97,11.52,,,
2011-08-28,,20.25,,,,7.99,11.52,,,
2011-08-29,,20.25,,,,7.99,11.52,,,
2011-08-30,,20.25,,,,7.99,11.52,,,
2011-08-31,,20.25,,,,7.99,11.52,,,
2011-09-01,,20.25,,,,7.99,11.52,,,
2011-09-02,,20.25,,,,7.99,11.52,,,
2011-09-03,,20.25,,,,7.99,11.52,,,
2011-09-04,,20.25,,,,7.99,11.52,,,
2011-09-05,,20.25,,,,7.99,11.52,,,
2011-09-06,,20.25,,,,7.99,11.52,,,
2011-09-07,,20.25,,,,7.99,11.52,,,
2011-09-08,,20.25,,,,7.99,11.52,,,
2011-09-09,,20.25,,,,7.99,11.52,,,
2011-09-10,,19.66,,,,7.99,11.52,,,
2011-09-11,,20.25,,,,7.99,11.52,,,
2011-09-12,,20.25,,,,7.99,11.52,,,
2011-09-13,,20.25,,,,7.99,11.52,,,
2011-09-14,,20.25,,,,7.99,11.52,,,
2011-09-15,,20.25,,,,7.99,11.52,,,
2011-09-16,,20.25,,,,7.99,11.52,,,
2011-09-17,,20.25,,,,7.99,11.52,,,
2011-09-18,,20.25,,,,7.99,11.52,,,
2011-09-19,,20.25,,,,7.99,11.52,,,
2011-09-20,,20.25,,,,7.99,11.52,,,
2011-09-21,,20.25,,,,7.99,11.52,,,
2011-09-22,,20.25,,,,7.99,11.52,,,
2011-09-23,,20.25,,,,7.99,11.52,,,
2011-09-24,,20.25,,,,7.99,11.52,,,
2011-09-25,,20.25,,,,7.99,11.52,,,
2011-09-26,,20.25,,,,7.99,11.52,,,
2011-09-27,,20.25,,,,7.99,11.52,,,
2011-09-28,,20.25,,,,7.99,11.52,,,
2011-09-29,,20.25,,,,7.99,11.52,,,
2011-09-30,,20.25,,,,7.99,11.52,,,
2011-10-01,,20.25,,,,7.99,11.52,,,
2011-10-02,,20.25,,,,7.99,11.52,,,
2011-10-03,,20.25,,,,7.99,11.52,,,
2011-10-04,,20.25,,,,7.99,11.52,,,
2011-10-05,,20.25,,,,7.99,11.52,,,
2011-10-06,,20.25,,,,7.99,11.52,,,
2011-10-07,,20.25,,,,7.99,11.52,,,
2011-10-08,,20.25,,,,7.99,11.52,,,
2011-10-09,,20.25,,,,7.99,11.52,,,
2011-10-10,,20.25,,,,7.99,11.52,,,
2011-10-11,,20.25,,,,7.99,11.52,,,
2011-10-12,,20.25,,,,7.99,11.52,,,
2011-10-13,,20.25,,,,7.99,11.52,,,
2011-10-14,,20.25,,,,7.99,11.52,,,
2011-10-15,,20.25,,,,7.99,11.52,,,
2011-10-16,,20.25,,,,7.99,11.52,,,
2011-10-17,,20.25,,,,6.49,11.52,,,
2011-10-18,,20.25,,,,6.49,11.52,,,
2011-10-19,,20.25,,,,6.49,11.52,,,
2011-10-20,,20.25,,,,6.49,11.52,,,
2011-10-21,,20.25,,,,6.49,11.52,,,
2011-10-22,,20.25,,,,6.49,11.52,,,
2011-10-23,,20.25,,,,6.49,11.52,,,
2011-10-24,,20.25,,,,6.49,11.52,,,
2011-10-25,,20.25,,,,6.49,11.52,,,
2011-10-26,,20.25,,,,6.49,11.52,,,
2011-10-27,,20.25,,,,6.49,11.52,,,
2011-10-28,,20.91,,,,6.49,11.52,,,
2011-10-29,,20.91,,,,6.49,11.76,,,
2011-10-30,,20.91,,,,6.49,11.76,,,
2011-10-31,,20.91,,,,6.49,11.76,,,
2011-11-01,,20.91,,,,6.49,11.76,,,
2011-11-02,,20.91,,,,6.49,11.76,,,
2011-11-03,,20.91,,,,6.49,11.76,,,
2011-11-04,,20.91,,,,6.49,11.76,,,
2011-11-05,,20.91,,,,6.49,11.18,,,
2011-11-06,,20.91,,,,6.49,11.18,,,
2011-11-07,,20.91,,,,6.49,11.18,,,
2011-11-08,,20.91,,,,6.49,11.18,,,
2011-11-09,,20.91,,,,6.49,11.18,,,
2011-11-10,,20.91,,,,6.49,11.18,,,
2011-11-11,,20.91,,,,6.49,11.18,,,
2011-11-12,,20.91,,,,6.49,11.18,,,
2011-11-13,,20.91,,,,6.49,11.18,,,
2011-11-14,,20.91,,,,6.49,11.18,,,
2011-11-15,,20.91,,,,6.49,11.18,,,
2011-11-16,,20.91,,,,6.49,11.18,,,
2011-11-17,,20.91,,,,6.49,11.18,,,
2011-11-18,,20.91,,,,6.49,11.18,,,
2011-11-19,,20.91,,,,6.49,11.18,,,
2011-11-20,,20.91,,,,6.49,11.18,,,
2011-11-21,,20.91,,,,6.49,11.18,,,
2011-11-22,,20.91,,,,6.49,11.18,,,
2011-11-23,,20.91,,,,6.49,11.76,,,
2011-11-24,,20.91,,,,6.49,11.76,,,
2011-11-25,,20.91,,,,6.49,11.76,,,
2011-11-26,,20.91,,,,6.49,11.76,,,
2011-11-27,,20.91,,,,6.97,11.76,,,
2011-11-28,,20.91,,,,6.97,11.76,,,
2011-11-29,,20.91,,,,6.97,11.76,,,
2011-11-30,,20.91,,,,6.97,11.76,,,
2011-12-01,,20.91,,,,6.97,11.76,,,
2011-12-02,,20.91,,,,6.97,11.76,,,
2011-12-03,,20.91,,,,6.97,11.76,,,
2011-12-04,,20.91,,,,6.97,11.18,,,
2011-12-05,,20.91,,,,6.97,11.18,,,
2011-12-06,,20.91,,,,6.97,11.18,,,
2011-12-07,,20.91,,,,7.99,11.18,,,
2011-12-08,,20.91,,,,7.99,11.18,,,
2011-12-09,,20.91,,,,7.99,11.18,,,
2011-12-10,,20.91,,,,7.99,11.18,,,
2011-12-11,,20.91,,,,7.99,11.18,,,
2011-12-12,,20.91,,,,7.99,11.18,,,
2011-12-13,,20.91,,,,7.99,11.18,,,
2011-12-14,,20.91,,,,7.99,11.18,,,
2011-12-15,,20.91,,,,7.99,11.18,,,
2011-12-16,,20.91,,,,7.99,11.18,,,
2011-12-17,,20.91,,,,7.99,11.18,,,
2011-12-18,,20.91,,,,7.99,11.18,,,
2011-12-19,,20.91,,,,7.99,11.18,,,
2011-12-20,,20.91,,,,7.99,11.18,,,
2011-12-21,,20.91,,,,6.97,11.18,,,
2011-12-22,,20.91,,,,6.97,11.18,,,
2011-12-23,,20.91,,,,6.97,11.18,,,
2011-12-24,,20.91,,,,6.97,11.18,,,
2011-12-25,,20.91,,,,6.97,11.18,,,
2011-12-26,,20.91,,,,6.97,11.18,,,
2011-12-27,,20.91,,,,6.97,11.18,,,
2011-12-28,,20.91,,,,6.97,11.18,,,
2011-12-29,,20.91,,,,6.97,11.18,,,
2011-12-30,,20.91,,,,6.97,11.18,,,
2011-12-31,,20.91,,,,6.97,11.18,,,
2012-01-01,,20.91,,,,6.97,11.18,,,
2012-01-02,,20.91,,,,6.97,11.18,,,
2012-01-03,,20.91,,,,6.97,11.18,,,
2012-01-04,,20.91,,,,6.97,11.18,,,
2012-01-05,,20.91,,,,6.97,11.18,,,
2012-01-06,,20.91,,,,6.97,11.18,,,
2012-01-07,,20.91,,,,6.97,11.18,,,
2012-01-08,,20.91,,,,6.97,11.18,,,
2012-01-09,,20.91,,,,6.97,11.18,,,
2012-01-10,,20.91,,,,6.97,11.18,,,
2012-01-11,,20.91,,,,6.97,11.18,,,
2012-01-12,,20.91,,,,6.97,11.18,,,
2012-01-13,,20.91,,,,6.97,11.18,,,
2012-01-14,,20.91,,,,6.97,11.18,,,
2012-01-15,,20.91,,,,6.97,11.18,,,
2012-01-16,,20.91,,,,6.97,11.18,,,
2012-01-17,,20.91,,,,6.97,11.18,,,
2012-01-18,,20.91,,,,6.97,11.18,,,
2012-01-19,,20.91,,,,6.97,11.18,,,
2012-01-20,,20.91,,,,6.97,11.18,,,
2012-01-21,,20.91,,,,6.97,11.18,,,
2012-01-22,,20.91,,,,6.97,11.18,,,
2012-01-23,,20.91,,,,6.85,11.18,,,
2012-01-24,,20.91,,,,6.85,11.18,,,
2012-01-25,,20.91,,,,6.85,11.18,,,
2012-01-26,,20.91,,,,6.85,11.18,,,
2012-01-27,,20.91,,,,6.85,11.18,,,
2012-01-28,,20.91,,,,6.85,11.18,,8.49,
2012-01-29,,20.91,,,,6.85,11.18,,8.49,
2012-01-30,,20.91,,,,6.85,11.18,,8.49,
2012-01-31,,20.91,,,,6.85,11.18,,8.49,
2012-02-01,,20.91,,,,6.85,11.18,,8.49,
2012-02-02,,20.91,,,,6.85,11.18,,8.49,
2012-02-03,,20.91,,,,6.85,11.18,,8.49,
2012-02-04,,20.91,,,,6.85,11.18,,8.49,
2012-02-05,,20.91,,,,6.85,11.18,,8.49,
2012-02-06,,20.91,,,,6.85,11.18,,8.49,
2012-02-07,,20.91,,,,6.85,11.18,,8.49,
2012-02-08,,20.91,,,,6.85,11.18,,8.49,
2012-02-09,,20.91,,,,6.85,11.18,,8.49,
2012-02-10,,20.91,,,,6.85,11.18,,8.49,
2012-02-11,,17.97,,,,6.85,11.18,,8.49,
2012-02-12,,17.97,,,,6.85,11.18,,8.49,
2012-02-13,,17.97,,,,6.85,11.18,,8.49,
2012-02-14,,17.97,,,,6.85,11.18,,8.49,
2012-02-15,,17.97,,,,6.85,11.18,,8.49,
2012-02-16,,17.97,,,,6.85,11.18,,8.49,
2012-02-17,,17.97,,,,6.85,11.18,,8.49,
2012-02-18,,17.97,,,,6.99,11.18,,8.49,
2012-02-19,,17.97,,,,6.99,11.18,,8.49,
2012-02-20,,20.91,,,,6.99,11.18,,8.49,
2012-02-21,,20.91,,,,6.99,11.18,,8.49,
2012-02-22,,20.91,,,,6.99,11.18,,8.49,
2012-02-23,,20.91,,,,6.99,11.18,,8.49,
2012-02-24,,20.91,,,,6.99,11.18,,8.49,
2012-02-25,,20.91,,,,6.99,11.18,,8.49,
2012-02-26,,20.91,,,,6.99,11.18,,8.49,
2012-02-27,,20.91,,,,6.99,11.18,,8.49,
2012-02-28,,23.97,,,,6.99,11.18,,8.49,
2012-02-29,,20.91,,,,6.99,11.18,,8.49,
2012-03-01,,20.91,,,,6.99,11.18,,8.49,
2012-03-02,,20.91,,,,6.99,11.18,,8.49,
2012-03-03,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-04,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-05,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-06,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-07,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-08,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-09,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-10,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-11,,17.97,,,,6.99,11.18,,8.49,7.99
2012-03-12,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-13,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-14,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-15,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-16,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-17,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-18,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-19,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-20,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-21,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-22,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-23,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-24,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-25,,23.97,,,,6.99,11.18,,8.49,7.99
2012-03-26,,23.97,,,,6.99,11.18,,8.49,7.99
2012-03-27,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-28,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-29,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-30,,20.91,,,,6.99,11.18,,8.49,7.99
2012-03-31,,20.91,,,,6.99,11.18,,8.49,7.99
2012-04-01,,20.91,,,,6.99,11.18,,8.49,7.99
2012-04-02,,20.91,,,,6.99,11.18,,8.49,7.99
2012-04-03,,20.91,,,,6.99,11.18,,8.49,7.99
2012-04-04,,20.91,,,,6.99,11.18,,8.49,7.99
2012-04-05,,20.91,,,,6.99,11.18,,8.49,7.99
2012-04-06,,20.91,,,,6.99,11.18,,8.49,7.99
2012-04-07,,20.91,,,,6.99,11.18,,8.49,7.99
2012-04-08,,17.97,,,,6.99,11.18,,8.49,7.99
2012-04-09,,17.97,,,,6.99,11.18,,8.49,7.99
2012-04-10,,17.97,,,,6.99,11.18,,8.49,7.99
2012-04-11,,17.97,,,,6.85,11.18,,8.49,7.99
2012-04-12,,17.97,,,,6.85,11.18,,8.49,7.99
2012-04-13,,17.97,,,,6.85,11.18,,8.49,7.99
2012-04-14,,17.97,,,,6.85,11.18,,8.49,7.99
2012-04-15,,17.97,,,,6.85,11.18,,8.49,7.99
2012-04-16,,20.91,,,,6.85,11.18,,8.49,7.99
2012-04-17,,20.91,,,,6.85,11.18,,8.49,7.99
2012-04-18,,20.91,,,,6.85,11.18,,8.49,7.99
2012-04-19,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-20,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-21,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-22,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-23,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-24,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-25,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-26,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-27,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-28,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-29,,20.91,,,,6.85,11.18,,8.49,7.19
2012-04-30,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-01,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-02,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-03,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-04,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-05,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-06,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-07,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-08,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-09,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-10,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-11,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-12,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-13,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-14,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-15,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-16,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-17,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-18,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-19,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-20,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-21,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-22,,20.91,,,,6.85,11.18,,8.49,7.19
2012-05-23,,20.91,,,,6.85,11.18,,8.49,14.99
2012-05-24,,20.91,,,,6.85,11.18,,8.49,14.99
2012-05-25,,20.91,,,,6.85,11.18,,8.49,14.99
2012-05-26,,20.91,,,,6.85,11.18,,8.49,14.99
2012-05-27,,20.91,,,,6.85,11.18,,8.49,14.99
2012-05-28,,20.91,,,,6.85,11.18,,8.49,14.99
2012-05-29,,20.91,,,,6.85,11.18,,8.49,14.99
2012-05-30,,20.91,,,,5.99,11.18,,8.49,14.99
2012-05-31,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-01,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-02,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-03,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-04,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-05,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-06,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-07,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-08,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-09,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-10,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-11,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-12,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-13,,20.91,,,,5.99,11.18,,8.49,14.99
2012-06-14,,20.91,,,,5.99,11.18,,7.19,14.99
2012-06-15,,20.91,,,,5.99,11.18,,7.19,14.99
2012-06-16,,20.91,,,,5.99,11.18,,7.19,14.99
2012-06-17,,20.91,,,,5.99,11.18,,7.19,14.99
2012-06-18,,20.91,,,,5.99,11.18,,7.19,14.99
2012-06-19,,20.91,,,,5.99,11.76,,7.19,14.99
2012-06-20,,20.91,,,,5.99,11.76,,7.19,14.99
2012-06-21,,20.91,,,,5.99,11.76,,7.19,14.99
2012-06-22,,20.91,,,,5.99,11.76,,7.19,14.99
2012-06-23,,20.91,,,,5.99,11.76,,7.19,7.09
