date,B000VQDABY,B000VSDA3A,B000VSDCH4,B000VSFMCW,B0028PDFQG,B002F0RY20,B009Q2YM7A,B00A28QQ44,B00C8XYYNG,B00CORJU5S
2011-03-24,,,,,18.11,,,,,
2011-03-25,,,,,18.11,,,,,
2011-03-26,,,,,18.46,,,,,
2011-03-27,,,,,18.46,,,,,
2011-03-28,,,,,18.46,,,,,
2011-03-29,,,,,18.46,,,,,
2011-03-30,,,,,18.46,,,,,
2011-03-31,,,,,18.46,,,,,
2011-04-01,,,,,18.46,,,,,
2011-04-02,,,,,18.46,,,,,
2011-04-03,,,,,18.46,,,,,
2011-04-04,,,,,18.46,,,,,
2011-04-05,,,,,18.46,,,,,
2011-04-06,,,,,18.46,,,,,
2011-04-07,,,,,18.46,,,,,
2011-04-08,,,,,18.46,,,,,
2011-04-09,,,,,18.46,,,,,
2011-04-10,,,,,18.46,,,,,
2011-04-11,,,,,18.46,,,,,
2011-04-12,,,,,18.46,,,,,
2011-04-13,,,,,18.46,,,,,
2011-04-14,,,,,18.46,,,,,
2011-04-15,,,,,18.46,,,,,
2011-04-16,,,,,18.46,,,,,
2011-04-17,,,,,18.46,,,,,
2011-04-18,,,,,18.46,,,,,
2011-04-19,,,,,18.46,,,,,
2011-04-20,,,,,18.46,,,,,
2011-04-21,,,,,18.46,,,,,
2011-04-22,,,,,18.46,,,,,
2011-04-23,,,,,18.46,,,,,
2011-04-24,,,,,18.46,,,,,
2011-04-25,,,,,18.46,,,,,
2011-04-26,,,,,18.46,,,,,
2011-04-27,,,,,18.46,,,,,
2011-04-28,,,,,18.46,,,,,
2011-04-29,,,,,18.46,,,,,
2011-04-30,,,,,18.46,,,,,
2011-05-01,,,,,18.46,,,,,
2011-05-02,,,,,18.46,,,,,
2011-05-03,,,,,18.46,,,,,
2011-05-04,,,,,18.46,,,,,
2011-05-05,,,,,18.46,,,,,
2011-05-06,,,,,18.46,,,,,
2011-05-07,,,,,18.46,,,,,
2011-05-08,,,,,18.46,,,,,
2011-05-09,,,,,18.46,,,,,
2011-05-10,,,,,18.46,,,,,
2011-05-11,,,,,18.46,,,,,
2011-05-12,,,,,18.46,,,,,
2011-05-13,,,,,17.6,,,,,
2011-05-14,,,,,17.6,,,,,
2011-05-15,,,,,17.6,,,,,
2011-05-16,,,,,17.6,,,,,
2011-05-17,,,,,17.6,,,,,
2011-05-18,,,,,17.6,,,,,
2011-05-19,,,,,17.6,,,,,
2011-05-20,,,,,17.6,,,,,
2011-05-21,,,,,17.6,,,,,
2011-05-22,,,,,17.6,,,,,
2011-05-23,,,,,17.6,,,,,
2011-05-24,,,,,17.6,,,,,
2011-05-25,,,,,17.6,,,,,
2011-05-26,,,,,17.6,,,,,
2011-05-27,,,,,17.6,,,,,
2011-05-28,,,,,17.6,,,,,
2011-05-29,,,,,17.6,,,,,
2011-05-30,,,,,17.6,,,,,
2011-05-31,,,,,17.6,,,,,
2011-06-01,,,,,17.6,,,,,
2011-06-02,,,,,17.6,,,,,
2011-06-03,,,,,17.6,,,,,
2011-06-04,,,,,17.6,,,,,
2011-06-05,,,,,17.6,,,,,
2011-06-06,,,,,17.6,,,,,
2011-06-07,,,,,17.6,,,,,
2011-06-08,,,,,17.6,,,,,
2011-06-09,,,,,17.6,,,,,
2011-06-10,,,,,17.6,,,,,
2011-06-11,,,,,17.6,,,,,
2011-06-12,,,,,17.6,,,,,
2011-06-13,,,,,17.6,,,,,
2011-06-14,,,,,17.6,,,,,
2011-06-15,,,,,17.6,,,,,
2011-06-16,,,,,17.6,,,,,
2011-06-17,,,,,17.6,,,,,
2011-06-18,,,,,17.6,,,,,
2011-06-19,,,,,17.6,,,,,
2011-06-20,,,,,17.6,,,,,
2011-06-21,,,,,17.6,,,,,
2011-06-22,,,,,17.6,,,,,
2011-06-23,,,,,17.6,,,,,
2011-06-24,,,,,17.6,,,,,
2011-06-25,,,,,17.6,,,,,
2011-06-26,,,,,17.6,,,,,
2011-06-27,,,,,17.6,,,,,
2011-06-28,,,,,17.6,,,,,
2011-06-29,,,,,17.6,,,,,
2011-06-30,,,,,18.46,,,,,
2011-07-01,,,,,18.46,,,,,
2011-07-02,,,,,16.68,,,,,
2011-07-03,,,,,16.68,,,,,
2011-07-04,,,,,16.68,,,,,
2011-07-05,,,,,16.68,,,,,
2011-07-06,,,,,16.68,,,,,
2011-07-07,,,,,16.68,,,,,
2011-07-08,,,,,16.68,,,,,
2011-07-09,,,,,16.68,,,,,
2011-07-10,,,,,16.68,,,,,
2011-07-11,,,,,16.68,,,,,
2011-07-12,,,,,16.68,,,,,
2011-07-13,,,,,16.68,,,,,
2011-07-14,,,,,16.68,,,,,
2011-07-15,,,,,16.68,,,,,
