date,B00074VZ9O,B00074VZAS,B0009YUFMK,B002DGE8Q6,B002VXF3WE,B003MR52LU,B003MROHZW,B004B3W4N8,B005W0O5JK,B00987HPFO
2011-03-24,21.99,23.33,20.48,,,,,,,
2011-03-25,21.99,23.33,20.48,,,,,,,
2011-03-26,21.99,23.33,20.48,,,,,,,
2011-03-27,21.99,23.33,20.48,,,,,,,
2011-03-28,21.99,23.33,20.48,,,,,,,
2011-03-29,21.99,23.33,20.48,,,,,,,
2011-03-30,21.99,23.33,20.48,,,,,,,
2011-03-31,21.99,23.33,20.48,,,,,,,
2011-04-01,21.99,23.33,20.48,,,,,,,
2011-04-02,21.99,23.33,20.48,,,,,,,
2011-04-03,21.99,23.33,20.48,,,,,,,
2011-04-04,21.99,23.33,20.48,,,,,,,
2011-04-05,21.99,23.33,20.48,,,,,,,
2011-04-06,21.99,20.85,18.99,,,,,,,
2011-04-07,21.99,20.85,18.99,,,,,,,
2011-04-08,21.99,20.85,18.99,,,,,,,
2011-04-09,21.99,20.85,18.99,,,,,,,
2011-04-10,21.99,20.85,18.99,,,,,,,
2011-04-11,21.99,20.85,18.99,,,,,,,
2011-04-12,21.99,20.85,18.99,,,,,,,
2011-04-13,22.46,20.85,18.99,,,,,,,
2011-04-14,22.46,20.85,18.99,,,,,,,
2011-04-15,22.41,20.85,18.99,,,,,,,
2011-04-16,22.46,20.85,18.99,,,,,,,
2011-04-17,22.46,20.85,18.99,,,,,,,
2011-04-18,22.46,20.85,18.99,,,,,,,
2011-04-19,22.46,20.85,18.99,,,,,,,
2011-04-20,22.46,20.85,18.99,,,,,,,
2011-04-21,22.46,20.85,18.99,,,,,,,
2011-04-22,22.46,20.85,18.99,,,,,,,
2011-04-23,22.46,20.85,18.99,,,,,,,
2011-04-24,22.46,20.85,18.99,,,,,,,
2011-04-25,22.46,20.85,18.99,,,,,,,
2011-04-26,21.99,20.85,18.99,,,,,,,
2011-04-27,21.99,20.85,18.99,,,,,,,
2011-04-28,21.99,20.85,18.99,,,,,,,
2011-04-29,21.99,20.85,18.99,,,,,,,
2011-04-30,21.99,20.85,18.99,,,,,,,
2011-05-01,21.99,20.85,18.99,,,,,,,
2011-05-02,21.99,20.85,18.99,,,,,,,
2011-05-03,21.99,20.85,18.99,,,,,,,
2011-05-04,21.99,20.85,18.99,,,,,,,
2011-05-05,21.99,20.85,18.99,,,,,,,
2011-05-06,21.99,20.85,18.99,,,,,,,
2011-05-07,21.99,20.85,18.99,,,,,,,
2011-05-08,21.99,20.85,18.99,,,,,,,
2011-05-09,21.99,20.85,18.99,,,,,,,
2011-05-10,21.99,20.85,18.99,,,,,,,
2011-05-11,21.99,20.85,18.99,,,,,,,
2011-05-12,21.99,20.85,18.99,,,,,,,
2011-05-13,21.99,20.85,18.99,,,,,,,
2011-05-14,21.99,20.85,18.99,,,,,,,
2011-05-15,21.99,20.85,18.99,,,,,,,
2011-05-16,21.99,20.85,18.99,,,,,,,
2011-05-17,21.99,20.85,18.99,,,,,,,
2011-05-18,21.99,20.85,18.99,,,,,,,
2011-05-19,21.99,20.85,18.99,,,,,,,
2011-05-20,21.99,20.85,18.99,,,,,,,
2011-05-21,21.99,20.85,18.99,,,,,,,
2011-05-22,21.99,20.85,18.99,,,,,,,
2011-05-23,21.99,20.85,18.99,,,,,,,
2011-05-24,21.99,20.85,18.99,,,,,,,
2011-05-25,21.99,20.85,18.99,,,,,,,
2011-05-26,21.99,20.85,18.99,,,,,,,
2011-05-27,21.99,20.85,18.99,,,,,,,
2011-05-28,21.99,20.85,18.99,,,,,,,
2011-05-29,21.99,20.85,18.99,,,,,,,
2011-05-30,21.99,20.85,18.99,,,,,,,
2011-05-31,21.99,20.85,18.99,,,,,,,
2011-06-01,21.99,20.85,18.99,,,,,,,
2011-06-02,21.99,20.85,18.99,,,,,,,
2011-06-03,21.99,20.85,18.99,,,,,,,
2011-06-04,21.99,20.85,18.99,,,,,,,
2011-06-05,21.99,20.85,18.99,,,,,,,
2011-06-06,21.99,20.85,18.99,,,,,,,
