date,B077794YHV,B084TQKLCC,B08563P4NS,B0856XZJLH,B0859RSTXN,B0859S7T1T,B085CM549X,B085G4J52J,B085M8QDV2,B085NWS77X,B085RKVJRM,B085TF7JPK,B085XFXZ8X,B085ZLWXVK,B0867D18WZ,B086897X75,B0868YY9MW,B086BQX728,B086C688Y5,B086DT2387,B086GBDVW5,B086GS4Z7P,B086HKN7SS,B086HN11NV,B086J5VPGF,B086JW1NWH,B086MN9J84,B086MPXGKJ,B086QLH269,B086QR99NS
2017-11-26,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,-0.01,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,-0.01,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,
