date,B000CDHZEY,B002TACI6I,B005HG9ERW,B005HG9ESG,B00COR1HHW,B00LLKWVL4,B01BR0AW2W,B01JTXE17Q,B01JTXE1AI,B01LYLM8JJ
2014-08-31,-0.01,,,,,,,,,
2014-09-03,-0.01,,,,-0.01,,,,,
2015-01-10,-0.01,,,,-0.01,-0.01,,,,
2015-01-11,-0.01,,,,-0.01,-0.01,,,,
2015-01-12,-0.01,,,,-0.01,-0.01,,,,
2015-01-13,-0.01,,,,-0.01,-0.01,,,,
2015-01-14,-0.01,,,,-0.01,-0.01,,,,
2015-01-15,-0.01,,,,-0.01,-0.01,,,,
2015-01-16,-0.01,,,,-0.01,-0.01,,,,
2015-01-17,-0.01,,,,-0.01,-0.01,,,,
2015-01-18,-0.01,,,,-0.01,-0.01,,,,
2015-01-19,-0.01,,,,-0.01,-0.01,,,,
2015-01-20,-0.01,,,,-0.01,-0.01,,,,
2015-01-21,-0.01,,,,-0.01,-0.01,,,,
2015-01-22,-0.01,,,,-0.01,-0.01,,,,
2015-01-23,-0.01,,,,-0.01,-0.01,,,,
2015-01-24,-0.01,,,,-0.01,-0.01,,,,
2015-01-25,-0.01,,,,-0.01,-0.01,,,,
2015-01-26,-0.01,,,,-0.01,-0.01,,,,
2015-01-27,-0.01,,,,-0.01,-0.01,,,,
2015-01-28,-0.01,,,,-0.01,-0.01,,,,
2015-01-29,-0.01,,,,-0.01,-0.01,,,,
2015-01-30,-0.01,,,,-0.01,-0.01,,,,
2015-01-31,-0.01,,,,-0.01,-0.01,,,,
2015-02-01,-0.01,,,,-0.01,-0.01,,,,
2015-02-02,-0.01,,,,-0.01,-0.01,,,,
2015-02-03,-0.01,,,,-0.01,-0.01,,,,
2015-02-04,-0.01,,,,-0.01,-0.01,,,,
2015-02-05,-0.01,,,,-0.01,-0.01,,,,
2015-02-06,-0.01,,,,-0.01,-0.01,,,,
2015-02-07,-0.01,,,,-0.01,-0.01,,,,
2015-02-08,-0.01,,,,-0.01,-0.01,,,,
2015-02-09,-0.01,,,,-0.01,-0.01,,,,
2015-02-10,-0.01,,,,-0.01,-0.01,,,,
2015-02-11,-0.01,,,,-0.01,-0.01,,,,
2015-02-12,-0.01,,,,-0.01,-0.01,,,,
2015-02-13,-0.01,,,,-0.01,-0.01,,,,
2015-02-14,-0.01,,,,-0.01,-0.01,,,,
2015-02-15,-0.01,,,,-0.01,-0.01,,,,
2015-02-16,-0.01,,,,-0.01,-0.01,,,,
2015-02-17,-0.01,,,,-0.01,-0.01,,,,
2015-02-18,-0.01,,,,-0.01,-0.01,,,,
2015-02-19,-0.01,,,,-0.01,-0.01,,,,
2015-02-20,-0.01,,,,-0.01,-0.01,,,,
2015-02-21,-0.01,,,,-0.01,-0.01,,,,
2015-02-22,-0.01,,,,-0.01,-0.01,,,,
2015-02-23,-0.01,,,,-0.01,-0.01,,,,
2015-02-24,-0.01,,,-0.01,-0.01,-0.01,,,,
2015-02-25,-0.01,,,-0.01,-0.01,-0.01,,,,
2015-02-26,-0.01,,,-0.01,-0.01,-0.01,,,,
2015-02-27,-0.01,,,-0.01,-0.01,-0.01,,,,
