date,B000EGK4HY,B000VB0C4M,B000ZOQ9HY,B0014COKYU,B004Z45W9G,B00BAKMTG2,B00BAN94A8,B00GYRBXCM,B00GYRBY1M,B00IS8HTRS
2011-03-26,,,,9.74,,,,,,
2011-03-27,,,,9.72,,,,,,
2011-03-28,,,,9.72,,,,,,
2011-03-29,,,,9.76,,,,,,
2011-03-30,,,,9.82,,,,,,
2011-03-31,,,,9.82,,,,,,
2011-04-01,,,,9.82,,,,,,
2011-04-02,,,,9.68,,,,,,
2011-04-03,,,,9.68,,,,,,
2011-04-04,,,,9.58,,,,,,
2011-04-05,,,,9.56,,,,,,
2011-04-06,,,,9.49,,,,,,
2011-04-07,,,,9.49,,,,,,
2011-04-08,,,,9.51,,,,,,
2011-04-09,,,-0.01,9.51,,,,,,
2011-04-10,,,-0.01,9.485,,,,,,
2011-04-11,,,-0.01,9.485,,,,,,
2011-04-12,,,-0.01,9.44,,,,,,
2011-04-13,,,-0.01,9.49,,,,,,
2011-04-14,,,-0.01,9.51,,,,,,
2011-04-15,,,-0.01,9.53,,,,,,
2011-04-16,,,-0.01,9.56,,,,,,
2011-04-17,,,-0.01,9.56,,,,,,
2011-04-18,,,-0.01,9.58,,,,,,
2011-04-19,,,-0.01,9.53,,,,,,
2011-04-20,,,-0.01,9.57,,,,,,
2011-04-21,,,-0.01,9.57,,,,,,
2011-04-22,,,-0.01,9.65,,,,,,
2011-04-23,,,-0.01,9.56,,,,,,
2011-04-24,,,-0.01,9.56,,,,,,
2011-04-25,,,-0.01,9.51,,,,,,
2011-04-26,,,-0.01,9.42,,,,,,
2011-04-27,,,-0.01,9.36,,,,,,
2011-04-28,,,-0.01,9.33,,,,,,
2011-04-29,,,-0.01,9.33,,,,,,
2011-04-30,,,-0.01,9.33,,,,,,
2011-05-01,,,-0.01,9.155,,,,,,
2011-05-02,,,-0.01,9.12,,,,,,
2011-05-03,,,-0.01,9.12,,,,,,
2011-05-04,,,-0.01,9.11,,,,,,
2011-05-05,,,-0.01,9.11,,,,,,
2011-05-06,,,-0.01,9.18,,,,,,
2011-05-07,,,-0.01,9.2,,,,,,
2011-05-08,,,-0.01,9.2,,,,,,
2011-05-09,,,-0.01,9.2,,,,,,
2011-05-10,,,-0.01,9.14,,,,,,
2011-05-11,,,-0.01,9.14,,,,,,
2011-05-12,,,-0.01,9.14,,,,,,
2011-05-13,,,-0.01,9.14,,,,,,
2011-05-14,,,-0.01,9.14,,,,,,
2011-05-15,,,-0.01,9.14,,,,,,
2011-05-16,,,-0.01,9.27,,,,,,
2011-05-17,,,-0.01,9.27,,,,,,
2011-05-18,,,-0.01,9.27,,,,,,
2011-05-19,,,-0.01,9.25,,,,,,
2011-05-20,,,-0.01,9.245000000000001,,,,,,
2011-05-21,,,-0.01,9.33,,,,,,
2011-05-22,,,-0.01,9.33,,,,,,
2011-05-23,,,-0.01,9.33,,,,,,
2011-05-24,,,-0.01,9.34,,,,,,
2011-05-25,,,-0.01,9.34,,,,,,
2011-05-26,,,-0.01,9.42,,,,,,
2011-05-27,,,-0.01,9.45,,,,,,
2011-05-28,,,-0.01,9.45,,,,,,
2011-05-29,,,-0.01,9.43,,,,,,
2011-05-30,,,-0.01,9.38,,,,,,
2011-05-31,,,-0.01,9.38,,,,,,
2011-06-01,,,-0.01,9.38,,,,,,
2011-06-02,,,-0.01,9.43,,,,,,
2011-06-03,,,-0.01,9.43,,,,,,
2011-06-04,,,-0.01,9.38,,,,,,
2011-06-05,,,-0.01,9.38,,,,,,
2011-06-06,,,-0.01,9.38,,,,,,
2011-06-07,,,-0.01,9.38,,,,,,
2011-06-08,,,-0.01,9.38,,,,,,
2011-06-09,,,-0.01,9.44,,,,,,
2011-06-10,,,-0.01,9.44,,,,,,
2011-06-11,,,-0.01,9.425,,,,,,
2011-06-12,,,-0.01,9.425,,,,,,
2011-06-13,,,-0.01,9.425,,,,,,
2011-06-14,,,-0.01,9.425,,,,,,
2011-06-15,,,-0.01,9.33,,,,,,
2011-06-16,,,-0.01,9.33,,,,,,
2011-06-17,,,-0.01,9.33,,,,,,
2011-06-18,,,-0.01,9.29,,,,,,
2011-06-19,,,-0.01,9.29,,,,,,
2011-06-20,,,-0.01,9.29,,,,,,
2011-06-21,,,-0.01,9.29,,,,,,
2011-06-22,,,-0.01,9.29,,,,,,
2011-06-23,,,-0.01,9.29,,,,,,
2011-06-24,,,-0.01,9.29,,,,,,
2011-06-25,,,-0.01,9.29,,,,,,
2011-06-26,,,-0.01,9.29,,,,,,
2011-06-27,,,-0.01,9.29,,,,,,
2011-06-28,,,-0.01,9.29,,,,,,
2011-06-29,,,-0.01,9.29,,,,,,
2011-06-30,,,-0.01,9.29,,,,,,
2011-07-01,,,-0.01,9.29,,,,,,
2011-07-02,,,-0.01,9.29,,,,,,
2011-07-03,,,-0.01,9.29,,,,,,
2011-07-04,,,-0.01,9.29,,,,,,
2011-07-05,,,-0.01,9.29,,,,,,
2011-07-06,,,-0.01,9.29,,,,,,
2011-07-07,,,-0.01,9.29,,,,,,
2011-07-08,,,-0.01,9.29,,,,,,
2011-07-09,,,-0.01,9.29,,,,,,
2011-07-10,,,-0.01,9.29,,,,,,
2011-07-11,,,-0.01,9.29,,,,,,
2011-07-12,,,-0.01,9.29,,,,,,
2011-07-13,,,-0.01,9.29,,,,,,
2011-07-14,,,-0.01,9.29,,,,,,
2011-07-15,,,-0.01,9.29,,,,,,
2011-07-16,,,-0.01,9.29,,,,,,
2011-07-17,,,-0.01,9.29,,,,,,
2011-07-18,,,-0.01,9.29,,,,,,
2011-07-19,,,-0.01,9.66,,,,,,
2011-07-20,,,-0.01,9.66,,,,,,
2011-07-21,,,-0.01,9.66,,,,,,
2011-07-22,,,-0.01,9.66,,,,,,
2011-07-23,,,-0.01,9.66,,,,,,
2011-07-24,,,-0.01,9.66,,,,,,
2011-07-25,,,-0.01,9.66,,,,,,
2011-07-26,,,-0.01,9.66,,,,,,
2011-07-27,,,-0.01,9.66,,,,,,
2011-07-28,,,-0.01,9.66,,,,,,
2011-07-29,,,-0.01,9.66,,,,,,
2011-07-30,,,-0.01,9.66,,,,,,
2011-07-31,,,-0.01,9.66,,,,,,
2011-08-01,,,-0.01,9.66,,,,,,
2011-08-02,,,-0.01,9.66,,,,,,
2011-08-03,,,-0.01,9.66,,,,,,
2011-08-04,,,-0.01,9.66,,,,,,
2011-08-05,,,-0.01,9.66,,,,,,
2011-08-06,,,-0.01,9.66,,,,,,
2011-08-07,,,-0.01,9.97,,,,,,
2011-08-08,,,-0.01,9.97,,,,,,
2011-08-09,,,-0.01,9.93,,,,,,
2011-08-10,,,-0.01,9.93,,,,,,
2011-08-11,-0.01,,-0.01,9.93,,,,,,
2011-08-12,-0.01,,-0.01,9.91,,,,,,
2011-08-13,-0.01,,-0.01,9.91,,,,,,
2011-08-14,-0.01,,-0.01,9.91,,,,,,
2011-08-15,-0.01,,-0.01,9.95,,,,,,
2011-08-16,-0.01,,-0.01,9.95,,,,,,
2011-08-17,-0.01,,-0.01,9.95,,,,,,
2011-08-18,-0.01,,-0.01,9.95,,,,,,
2011-08-19,-0.01,,-0.01,9.95,,,,,,
2011-08-20,-0.01,,-0.01,9.95,,,,,,
2011-08-21,-0.01,,-0.01,9.95,,,,,,
2011-08-22,-0.01,,-0.01,9.95,,,,,,
2011-08-23,-0.01,,-0.01,9.885,,,,,,
2011-08-24,-0.01,,-0.01,9.885,,,,,,
2011-08-25,-0.01,,-0.01,9.91,,,,,,
2011-08-26,-0.01,,-0.01,9.94,,,,,,
2011-08-27,-0.01,,-0.01,10.06,,,,,,
2011-08-28,-0.01,,-0.01,10.06,,,,,,
2011-08-29,-0.01,,-0.01,10.06,,,,,,
2011-08-30,-0.01,,-0.01,10.09,,,,,,
2011-08-31,-0.01,,-0.01,10.09,,,,,,
2011-09-01,-0.01,,-0.01,10.08,,,,,,
2011-09-02,-0.01,,-0.01,10.07,,,,,,
2011-09-03,-0.01,,-0.01,10.1,,,,,,
2011-09-04,-0.01,,-0.01,10.12,,,,,,
2011-09-05,-0.01,,-0.01,10.14,,,,,,
2011-09-06,-0.01,,-0.01,10.14,,,,,,
2011-09-07,-0.01,,-0.01,10.21,,,,,,
2011-09-08,-0.01,,-0.01,10.29,,,,,,
2011-09-09,-0.01,,-0.01,10.38,,,,,,
2011-09-10,-0.01,,-0.01,10.38,,,,,,
2011-09-11,-0.01,,-0.01,10.4,,,,,,
2011-09-12,-0.01,,-0.01,10.46,,,,,,
2011-09-13,-0.01,,-0.01,10.46,,,,,,
2011-09-14,-0.01,,-0.01,10.46,,,,,,
2011-09-15,-0.01,,-0.01,10.44,,,,,,
2011-09-16,-0.01,,-0.01,10.36,,,,,,
2011-09-17,-0.01,,-0.01,10.305,,,,,,
2011-09-18,-0.01,,-0.01,10.35,,,,,,
2011-09-19,-0.01,,-0.01,10.35,,,,,,
2011-09-20,-0.01,,-0.01,10.31,,,,,,
2011-09-21,-0.01,,-0.01,10.32,,,,,,
2011-09-22,-0.01,,-0.01,10.41,,,,,,
2011-09-23,-0.01,,-0.01,10.41,,,,,,
2011-09-24,-0.01,,-0.01,10.45,,,,,,
2011-09-25,-0.01,,-0.01,10.46,,,,,,
2011-09-26,-0.01,,-0.01,10.46,,,,,,
2011-09-27,-0.01,,-0.01,10.4,,,,,,
2011-09-28,-0.01,,-0.01,10.43,,,,,,
2011-09-29,-0.01,,-0.01,10.43,,,,,,
2011-09-30,-0.01,,-0.01,10.415,,,,,,
2011-10-01,-0.01,,-0.01,10.415,,,,,,
2011-10-02,-0.01,,-0.01,10.415,,,,,,
2011-10-03,-0.01,,-0.01,10.43,,,,,,
2011-10-04,-0.01,,-0.01,10.43,,,,,,
2011-10-05,-0.01,,-0.01,10.43,,,,,,
2011-10-06,-0.01,,-0.01,10.43,,,,,,
2011-10-07,-0.01,,-0.01,10.43,,,,,,
2011-10-08,-0.01,,-0.01,10.43,,,,,,
2011-10-09,-0.01,,-0.01,10.43,,,,,,
2011-10-10,-0.01,,-0.01,10.43,,,,,,
2011-10-11,-0.01,,-0.01,10.43,,,,,,
2011-10-12,-0.01,,-0.01,10.41,,,,,,
2011-10-13,-0.01,,-0.01,10.41,,,,,,
2011-10-14,-0.01,,-0.01,10.41,,,,,,
2011-10-15,-0.01,,-0.01,10.41,,,,,,
2011-10-16,-0.01,,-0.01,10.41,,,,,,
2011-10-17,-0.01,,-0.01,10.41,,,,,,
2011-10-18,-0.01,,-0.01,10.41,,,,,,
2011-10-19,-0.01,,-0.01,10.4,,,,,,
2011-10-20,-0.01,,-0.01,10.41,,,,,,
2011-10-21,-0.01,,-0.01,9.9275,,,,,,
2011-10-22,-0.01,,-0.01,8.73,,,,,,
2011-10-23,-0.01,,-0.01,9.185,,,,,,
2011-10-24,-0.01,,-0.01,9.955,,,,,,
2011-10-25,-0.01,,-0.01,9.616666666666665,,,,,,
2011-10-26,-0.01,,-0.01,9.856666666666667,,,,,,
2011-10-27,-0.01,,-0.01,9.555,,,,,,
2011-10-28,-0.01,,-0.01,8.9,,,,,,
2011-10-29,-0.01,,-0.01,9.717500000000001,,,,,,
2011-10-30,-0.01,,-0.01,9.004999999999999,,,,,,
2011-10-31,-0.01,,-0.01,9.105,,,,,,
2011-11-01,-0.01,,-0.01,10.35,,,,,,
2011-11-02,-0.01,,-0.01,10.35,,,,,,
2011-11-03,-0.01,,-0.01,10.35,,,,,,
2011-11-04,-0.01,,-0.01,10.35,,,,,,
2011-11-05,-0.01,,-0.01,10.34,,,,,,
2011-11-06,-0.01,,-0.01,10.34,,,,,,
2011-11-07,-0.01,,-0.01,10.33,,,,,,
2011-11-08,-0.01,,-0.01,10.33,,,,,,
2011-11-09,-0.01,,-0.01,10.31,,,,,,
