date,B0013CNOMU,B001Q23J3G,B00NVLPB5O,B01G2OK1VK,B01N6L9JK2,B06Y63K8XY,B0728HNRFB,B07VX8PXD8,B084BNPP5X,B085FV8TYQ
2012-08-16,15.94,,,,,,,,,
2012-08-17,139.48,,,,,,,,,
2012-08-18,139.48,,,,,,,,,
2012-08-19,139.48,,,,,,,,,
2012-08-20,139.48,,,,,,,,,
2012-08-21,17.8,,,,,,,,,
2012-08-22,16.76,,,,,,,,,
2012-08-23,16.76,,,,,,,,,
2012-08-24,16.76,,,,,,,,,
2012-08-25,16.76,,,,,,,,,
2012-08-26,16.76,,,,,,,,,
2012-08-27,16.76,,,,,,,,,
2012-08-28,16.76,,,,,,,,,
2012-08-29,16.76,,,,,,,,,
2012-08-30,16.76,,,,,,,,,
2012-08-31,16.76,,,,,,,,,
2012-09-01,16.76,,,,,,,,,
2012-09-02,16.76,,,,,,,,,
2012-09-03,16.76,,,,,,,,,
2012-09-04,17.78,,,,,,,,,
2012-09-05,17.78,,,,,,,,,
2012-09-06,17.78,,,,,,,,,
2012-09-07,17.78,,,,,,,,,
2012-09-08,17.78,,,,,,,,,
2012-09-09,17.78,,,,,,,,,
2012-09-10,17.78,,,,,,,,,
2012-09-11,17.78,,,,,,,,,
2012-09-12,17.78,,,,,,,,,
2012-09-13,17.78,,,,,,,,,
2012-09-14,17.78,,,,,,,,,
2012-09-15,17.78,,,,,,,,,
2012-09-16,17.78,,,,,,,,,
2012-09-17,17.78,,,,,,,,,
2012-09-18,17.78,,,,,,,,,
2012-09-19,17.78,,,,,,,,,
2012-09-20,19.12,,,,,,,,,
2012-09-21,19.12,,,,,,,,,
2012-09-22,19.12,,,,,,,,,
2012-09-23,19.12,,,,,,,,,
2012-09-24,19.12,,,,,,,,,
2012-09-25,19.12,,,,,,,,,
2012-09-26,19.12,,,,,,,,,
2012-09-27,19.12,,,,,,,,,
2012-09-28,16.79,,,,,,,,,
2012-09-29,16.79,,,,,,,,,
2012-09-30,16.73,,,,,,,,,
2012-10-01,16.73,,,,,,,,,
2012-10-02,16.73,,,,,,,,,
2012-10-03,16.73,,,,,,,,,
2012-10-04,16.73,,,,,,,,,
