date,B00MYT481C,B01L2ZRYVE,B01MS6MO77,B01MUA0D2A,B01N1037CV,B01N1081RO,B01N3ASPNV,B01NAUKS62,B071JRMKBH,B076DWKD5B
2015-02-11,-0.01,,,,,,,,,
2015-02-12,-0.01,,,,,,,,,
2015-02-13,-0.01,,,,,,,,,
2015-02-14,-0.01,,,,,,,,,
2015-02-15,-0.01,,,,,,,,,
2015-02-16,-0.01,,,,,,,,,
2015-02-17,-0.01,,,,,,,,,
2015-02-18,-0.01,,,,,,,,,
2015-02-19,-0.01,,,,,,,,,
2015-02-20,-0.01,,,,,,,,,
2015-02-21,-0.01,,,,,,,,,
2015-02-22,-0.01,,,,,,,,,
2015-02-23,-0.01,,,,,,,,,
2015-02-24,-0.01,,,,,,,,,
2015-02-25,-0.01,,,,,,,,,
2015-02-26,-0.01,,,,,,,,,
2015-02-27,-0.01,,,,,,,,,
2015-02-28,-0.01,,,,,,,,,
2015-03-01,-0.01,,,,,,,,,
2015-03-02,-0.01,,,,,,,,,
2015-03-03,-0.01,,,,,,,,,
2015-03-04,-0.01,,,,,,,,,
2015-03-05,-0.01,,,,,,,,,
2015-03-06,-0.01,,,,,,,,,
2015-03-07,-0.01,,,,,,,,,
2015-03-08,-0.01,,,,,,,,,
2015-03-09,-0.01,,,,,,,,,
2015-03-10,-0.01,,,,,,,,,
2015-03-11,-0.01,,,,,,,,,
2015-03-12,-0.01,,,,,,,,,
2015-03-13,-0.01,,,,,,,,,
2015-03-14,-0.01,,,,,,,,,
2015-03-15,-0.01,,,,,,,,,
2015-03-16,-0.01,,,,,,,,,
2015-03-17,-0.01,,,,,,,,,
2015-03-18,-0.01,,,,,,,,,
2015-03-19,-0.01,,,,,,,,,
2015-03-20,-0.01,,,,,,,,,
2015-03-21,-0.01,,,,,,,,,
2015-03-22,-0.01,,,,,,,,,
2015-03-23,-0.01,,,,,,,,,
2015-03-24,-0.01,,,,,,,,,
2015-03-25,-0.01,,,,,,,,,
2015-03-26,-0.01,,,,,,,,,
2015-03-27,-0.01,,,,,,,,,
2015-03-28,-0.01,,,,,,,,,
2015-03-29,-0.01,,,,,,,,,
2015-03-30,-0.01,,,,,,,,,
2015-03-31,-0.01,,,,,,,,,
2015-04-01,-0.01,,,,,,,,,
2015-04-02,-0.01,,,,,,,,,
2015-04-03,-0.01,,,,,,,,,
2015-04-04,-0.01,,,,,,,,,
2015-04-05,-0.01,,,,,,,,,
2015-04-06,-0.01,,,,,,,,,
2015-04-07,-0.01,,,,,,,,,
2015-04-08,-0.01,,,,,,,,,
2015-04-09,-0.01,,,,,,,,,
2015-04-10,-0.01,,,,,,,,,
2015-04-11,-0.01,,,,,,,,,
2015-04-12,-0.01,,,,,,,,,
2015-04-13,-0.01,,,,,,,,,
2015-04-14,-0.01,,,,,,,,,
2015-04-15,-0.01,,,,,,,,,
2015-04-16,-0.01,,,,,,,,,
2015-04-17,-0.01,,,,,,,,,
2015-04-18,-0.01,,,,,,,,,
2015-04-19,-0.01,,,,,,,,,
2015-04-20,-0.01,,,,,,,,,
2015-04-21,-0.01,,,,,,,,,
2015-04-22,-0.01,,,,,,,,,
2015-04-23,-0.01,,,,,,,,,
2015-04-24,-0.01,,,,,,,,,
2015-04-25,-0.01,,,,,,,,,
2015-04-26,-0.01,,,,,,,,,
2015-04-27,-0.01,,,,,,,,,
2015-04-28,-0.01,,,,,,,,,
2015-04-29,-0.01,,,,,,,,,
2015-04-30,-0.01,,,,,,,,,
2015-05-01,-0.01,,,,,,,,,
2015-05-02,-0.01,,,,,,,,,
2015-05-03,-0.01,,,,,,,,,
2015-05-04,-0.01,,,,,,,,,
2015-05-05,-0.01,,,,,,,,,
