date,B000084F1I,B0009YWKUA,B000XK8MCA,B000XZBXP8,B001QCKS4O,B003O7ZON4,B00494JWY8,B004O83YVQ,B0055FSN3Q,B0057XGM5W
2011-03-24,,,47.99,,,30.99,,,,
2011-03-25,,,47.99,,,30.99,,,,
2011-03-26,,,47.99,,,30.99,,,,
2011-03-27,,,47.99,,,30.99,,,,
2011-03-28,,,47.99,,,30.99,,,,
2011-03-29,,,47.99,,,30.99,,,,
2011-03-30,,,47.99,,,30.99,,,,
2011-03-31,,,47.99,,,30.99,,,,
2011-04-01,,,47.99,,,30.99,,,,
2011-04-02,,,47.99,,,30.99,,,,
2011-04-03,,,47.99,,,30.99,,,,
2011-04-04,,,47.99,,,30.99,,,,
2011-04-05,,,47.99,,,30.99,,,,
2011-04-06,,,47.99,,51.57,30.99,,,,
2011-04-07,,,47.99,,51.57,30.99,,,,
2011-04-08,,,47.99,,51.57,30.99,,,,
2011-04-09,,,47.99,,51.57,30.99,,,,
2011-04-10,,,47.99,,51.57,30.99,,,,
2011-04-11,,,47.99,,51.57,30.99,,,,
2011-04-12,,,47.99,,51.57,30.99,,,,
2011-04-13,,,47.99,,51.57,30.99,,,,
2011-04-14,,,47.99,,51.57,30.99,,,,
2011-04-15,,,47.99,,51.57,30.99,,,,
2011-04-16,,,47.99,,51.57,30.99,,,,
2011-04-17,,,47.99,,51.57,30.99,,,,
2011-04-18,,,47.99,,51.57,30.99,,,,
2011-04-19,,,47.99,,51.57,30.99,,,,
2011-04-20,,,47.99,,51.57,30.99,,,,
2011-04-21,,,47.99,,51.57,30.99,,,,
2011-04-22,,,47.99,,51.57,30.99,-0.01,,,
2011-04-23,,,47.99,,51.57,30.99,-0.01,,,
2011-04-24,,,47.99,,51.57,30.99,-0.01,,,
2011-04-25,,,47.99,,51.57,30.99,-0.01,,,
2011-04-26,,,47.99,,51.57,30.99,-0.01,,,
2011-04-27,,,47.99,,51.57,30.99,-0.01,,,
2011-04-28,,,47.99,,51.57,30.99,-0.01,,,
2011-04-29,,,47.99,,51.57,30.99,-0.01,,,
2011-04-30,,,47.99,,51.57,30.99,-0.01,,,
2011-05-01,,,47.99,,51.57,30.99,-0.01,,,
2011-05-02,,,47.99,,51.57,30.99,-0.01,,,
2011-05-03,,,47.99,,51.57,30.99,-0.01,,,
2011-05-04,,,47.99,,51.57,30.99,-0.01,,,
2011-05-05,,,47.99,,51.57,30.99,-0.01,,,
2011-05-06,,,47.99,,51.57,30.99,-0.01,,,
2011-05-07,,,47.99,,51.57,30.99,-0.01,,,
2011-05-08,,,47.99,,51.57,30.99,-0.01,,,
2011-05-09,,,47.99,,51.57,30.99,-0.01,,,
2011-05-10,,,47.99,,51.57,30.99,-0.01,,,
2011-05-11,,,47.99,,51.57,30.99,-0.01,,,
2011-05-12,,,47.99,,51.57,30.99,-0.01,,,
2011-05-13,,,47.99,,51.57,30.99,-0.01,,,
2011-05-14,,,47.99,,51.57,30.99,-0.01,,,
2011-05-15,,,47.99,,51.57,30.99,-0.01,,,
2011-05-16,,,47.99,,51.57,30.99,-0.01,,,
2011-05-17,,,47.99,,51.57,30.99,-0.01,,,
2011-05-18,,,47.99,,51.57,30.99,-0.01,,,
2011-05-19,,,47.99,,51.57,30.99,-0.01,,,
2011-05-20,,,47.99,,51.57,30.99,-0.01,,,
2011-05-21,,,47.99,,51.57,30.99,-0.01,,,
2011-05-22,,,47.99,,51.57,30.99,-0.01,,,
2011-05-23,,,47.99,,51.57,30.99,-0.01,,,
2011-05-24,,,47.99,,51.57,30.99,-0.01,,,
2011-05-25,,,47.99,,51.57,30.99,-0.01,,,
2011-05-26,,,47.99,,51.57,30.99,-0.01,,,
2011-05-27,,,47.99,,51.57,30.99,-0.01,,,
2011-05-28,,,47.99,,51.57,30.99,-0.01,,,
2011-05-29,,,47.99,,51.57,30.99,-0.01,,,
2011-05-30,,,47.99,,51.57,30.99,-0.01,,,
2011-05-31,,,47.99,,51.57,30.99,-0.01,,,
2011-06-01,,,47.99,,51.57,30.99,-0.01,,,
2011-06-02,,,47.99,,51.57,30.99,-0.01,,,
2011-06-03,,,47.99,,51.57,30.99,-0.01,,,
2011-06-04,,,47.99,,51.57,30.99,-0.01,,,
2011-06-05,,,47.99,,51.57,30.99,-0.01,,,
2011-06-06,,,47.99,,51.57,30.99,-0.01,,,
2011-06-07,,,47.99,,51.57,30.99,-0.01,,,
2011-06-08,,,47.99,,51.57,30.99,-0.01,,,
2011-06-09,,,47.99,,51.57,30.99,-0.01,,,
2011-06-10,,,47.99,,51.57,30.99,-0.01,,,
2011-06-11,,,47.99,,51.57,30.99,-0.01,,,
2011-06-12,,,47.99,,51.57,30.99,-0.01,,,
2011-06-13,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-14,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-15,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-16,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-17,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-18,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-19,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-20,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-21,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-22,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-23,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-24,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-25,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-26,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-27,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-28,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-29,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-06-30,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-07-01,,,47.99,,51.57,30.99,-0.01,-0.01,,
2011-07-02,,,47.99,,51.57,30.99,-0.01,-0.01,16.99,
2011-07-03,,,47.99,,51.57,30.99,-0.01,16.99,16.99,
2011-07-04,,,47.99,,51.57,30.99,-0.01,16.99,16.99,
2011-07-05,,,47.99,,51.57,30.99,-0.01,16.99,16.99,
2011-07-06,,,47.99,,51.57,30.99,-0.01,16.99,-0.01,
