date,B000MD65FO,B001UGL84U,B0037Z6VK8,B003TPW5YM,B004H1R8TY,B005CUTW8O,B005CUTY4G,B005IHT8KI,B00AFBXQNC,B00AINMFAC
2011-03-24,,8.69,,,,,,,,
2011-03-25,,8.69,,,,,,,,
2011-03-26,,8.69,,,,,,,,
2011-03-27,,8.69,,,,,,,,
2011-03-28,,8.69,,,,,,,,
2011-03-29,,8.69,,,,,,,,
2011-03-30,,8.69,,,,,,,,
2011-03-31,,8.69,,,,,,,,
2011-04-01,,8.69,,,,,,,,
2011-04-02,,8.69,,,,,,,,
2011-04-03,,8.69,,,,,,,,
2011-04-04,,8.69,,,,,,,,
2011-04-05,,8.69,,,,,,,,
2011-04-06,,8.69,,,,,,,,
2011-04-07,,8.69,,,,,,,,
2011-04-08,,8.69,,,,,,,,
2011-04-09,,8.69,,,,,,,,
2011-04-10,,8.69,,,,,,,,
2011-04-11,,8.69,,,,,,,,
2011-04-12,,8.69,,,,,,,,
2011-04-13,,8.69,,,,,,,,
2011-04-14,,8.69,,,,,,,,
2011-04-15,,8.69,,,,,,,,
2011-04-16,,8.69,,,,,,,,
2011-04-17,,8.69,,,-0.01,,,,,
2011-04-18,,8.69,,,-0.01,,,,,
2011-04-19,,8.69,,,-0.01,,,,,
2011-04-20,,8.69,,,-0.01,,,,,
2011-04-21,,8.69,,,-0.01,,,,,
2011-04-22,,8.69,,,-0.01,,,,,
2011-04-23,,8.69,,,-0.01,,,,,
2011-04-24,,8.69,,,-0.01,,,,,
2011-04-25,,8.69,,,-0.01,,,,,
2011-04-26,,8.69,,,-0.01,,,,,
2011-04-27,,8.69,,,-0.01,,,,,
2011-04-28,,8.69,,,-0.01,,,,,
2011-04-29,,8.69,,,-0.01,,,,,
2011-04-30,,8.69,,,-0.01,,,,,
2011-05-01,,8.69,,,-0.01,,,,,
2011-05-02,,8.69,,,-0.01,,,,,
2011-05-03,,8.69,,,-0.01,,,,,
2011-05-04,,7.14,,,-0.01,,,,,
2011-05-05,,7.14,,,-0.01,,,,,
2011-05-06,,8.69,,,-0.01,,,,,
2011-05-07,,8.69,,,-0.01,,,,,
2011-05-08,,8.69,,,-0.01,,,,,
2011-05-09,,7.14,,,-0.01,,,,,
2011-05-10,,7.14,,-0.01,-0.01,,,,,
2011-05-11,,7.14,,-0.01,-0.01,,,,,
2011-05-12,,8.69,,-0.01,-0.01,,,,,
2011-05-13,,8.69,,-0.01,-0.01,,,,,
2011-05-14,,8.69,,-0.01,-0.01,,,,,
2011-05-15,,8.69,,-0.01,-0.01,,,,,
2011-05-16,,8.69,,-0.01,-0.01,,,,,
2011-05-17,,8.69,,-0.01,-0.01,,,,,
2011-05-18,,8.69,,-0.01,-0.01,,,,,
2011-05-19,,7.14,,-0.01,-0.01,,,,,
2011-05-20,,7.14,,-0.01,-0.01,,,,,
2011-05-21,,8.69,,-0.01,-0.01,,,,,
2011-05-22,,8.69,,-0.01,-0.01,,,,,
2011-05-23,,8.69,,-0.01,-0.01,,,,,
2011-05-24,,7.14,,-0.01,-0.01,,,,,
2011-05-25,,7.14,,-0.01,-0.01,,,,,
2011-05-26,,8.69,,-0.01,-0.01,,,,,
2011-05-27,,7.14,,-0.01,-0.01,,,,,
2011-05-28,,8.69,,-0.01,-0.01,,,,,
2011-05-29,,8.69,,-0.01,-0.01,,,,,
2011-05-30,,8.69,,-0.01,-0.01,,,,,
2011-05-31,,8.69,,-0.01,-0.01,,,,,
2011-06-01,,8.69,,-0.01,-0.01,,,,,
2011-06-02,,7.14,,-0.01,-0.01,,,,,
2011-06-03,,7.14,,-0.01,-0.01,,,,,
2011-06-04,,8.69,,-0.01,-0.01,,,,,
2011-06-05,,8.69,,-0.01,-0.01,,,,,
2011-06-06,,7.14,,-0.01,-0.01,,,,,
2011-06-07,,7.14,,-0.01,-0.01,,,,,
2011-06-08,,7.14,,-0.01,-0.01,,,,,
2011-06-09,,7.14,,-0.01,-0.01,,,,,
2011-06-10,,8.69,,-0.01,-0.01,,,,,
2011-06-11,,8.69,,-0.01,-0.01,,,,,
2011-06-12,,8.69,,-0.01,-0.01,,,,,
2011-06-13,,8.69,,-0.01,-0.01,,,,,
2011-06-14,,8.69,,-0.01,-0.01,,,,,
2011-06-15,,7.14,,-0.01,-0.01,,,,,
2011-06-16,,7.14,,-0.01,-0.01,,,,,
2011-06-17,,7.14,,-0.01,-0.01,,,,,
2011-06-18,,7.14,,-0.01,-0.01,,,,,
2011-06-19,,8.69,,-0.01,-0.01,,,,,
2011-06-20,,8.69,,-0.01,-0.01,,,,,
2011-06-21,,8.69,,-0.01,-0.01,,,,,
2011-06-22,,7.14,,-0.01,-0.01,,,,,
2011-06-23,,7.14,,-0.01,-0.01,,,,,
2011-06-24,,7.14,,-0.01,-0.01,,,,,
2011-06-25,,7.14,,-0.01,-0.01,,,,,
2011-06-26,,7.14,,-0.01,-0.01,,,,,
2011-06-27,,8.69,,-0.01,-0.01,,,,,
2011-06-28,,8.69,,-0.01,-0.01,,,,,
2011-06-29,,7.14,,-0.01,-0.01,,,,,
2011-06-30,,7.14,,-0.01,-0.01,,,,,
2011-07-01,,7.14,,-0.01,-0.01,,,,,
2011-07-02,,8.69,,-0.01,-0.01,,,,,
2011-07-03,,8.69,,-0.01,-0.01,,,,,
2011-07-04,,8.69,,-0.01,-0.01,,,,,
2011-07-05,,8.69,,-0.01,-0.01,,,,,
2011-07-06,,8.69,,-0.01,-0.01,,,,,
2011-07-07,,8.69,,-0.01,-0.01,,,,,
2011-07-08,,8.69,,-0.01,-0.01,,,,,
2011-07-09,,8.69,,-0.01,-0.01,,,,,
2011-07-10,,8.69,,-0.01,-0.01,,,,,
2011-07-11,,8.69,,-0.01,-0.01,,,,,
2011-07-12,,7.14,,-0.01,-0.01,,,,,
2011-07-13,,7.14,,-0.01,-0.01,,,,,
2011-07-14,,7.14,,-0.01,-0.01,,,,,
2011-07-15,,7.14,,-0.01,-0.01,,,,,
2011-07-16,,7.14,,-0.01,-0.01,,,,,
2011-07-17,,7.14,,-0.01,-0.01,,,,,
2011-07-18,,7.14,,-0.01,-0.01,5.99,,,,
2011-07-19,,7.14,,-0.01,-0.01,5.99,,,,
2011-07-20,,7.14,,-0.01,-0.01,5.99,,,,
2011-07-21,,7.14,,-0.01,-0.01,5.99,,,,
2011-07-22,,7.14,,-0.01,29.99,5.99,,,,
2011-07-23,,7.14,,-0.01,29.99,5.99,,,,
2011-07-24,,7.14,,-0.01,29.99,5.99,,,,
2011-07-25,,8.69,,-0.01,29.99,5.99,,,,
2011-07-26,,8.69,,-0.01,29.99,5.99,,,,
2011-07-27,,8.69,,-0.01,29.99,5.99,,,,
2011-07-28,,8.69,,-0.01,29.99,5.99,,,,
2011-07-29,,8.69,,-0.01,29.99,5.99,,,,
2011-07-30,,8.69,,-0.01,29.99,5.99,,,,
2011-07-31,,8.69,,-0.01,29.99,5.99,,,,
2011-08-01,,8.69,,-0.01,29.99,5.99,,,,
2011-08-02,,8.69,,-0.01,29.99,5.99,,,,
2011-08-03,,8.69,,-0.01,29.99,5.99,,,,
2011-08-04,,7.14,,-0.01,29.99,5.99,,,,
2011-08-05,,7.14,,-0.01,29.99,5.99,,,,
2011-08-06,,7.14,,-0.01,29.99,5.99,,,,
2011-08-07,,7.14,,-0.01,29.99,5.99,,,,
2011-08-08,,7.14,,-0.01,29.99,5.99,,,,
2011-08-09,,7.14,,-0.01,29.99,5.99,,,,
2011-08-10,,7.14,,-0.01,29.99,5.99,,,,
2011-08-11,,7.14,,-0.01,29.99,5.99,,,,
2011-08-12,,7.14,,-0.01,29.99,5.99,,,,
