date,B0000AZ74O,B000X7T8EE,B0014C440U,B001AZFA0O,B001DEIG44,B002FB2CS0,B0040XCTP2,B0042VIK3C,B00D3JA5V4,B00DNYXJP8
2011-03-24,,,,,4.81,,28.5,,,
2011-03-25,,,,,4.81,,28.5,,,
2011-03-26,,,78.52000000000001,,4.81,,28.5,,,
2011-03-27,,,78.52000000000001,,4.81,,28.5,,,
2011-03-28,,,78.52000000000001,,4.81,,28.5,,,
2011-03-29,,,66.95,,4.81,,28.5,,,
2011-03-30,,,66.95,,4.81,,28.5,,,
2011-03-31,,,60.26,,4.81,,28.5,,,
2011-04-01,,,60.26,,4.81,,28.5,,,
2011-04-02,,,60.26,,4.81,,28.5,,,
2011-04-03,,,60.26,,4.81,,28.5,,,
2011-04-04,,,60.26,,4.81,,28.5,,,
2011-04-05,,,60.26,,4.81,,28.5,,,
2011-04-06,,,60.26,,4.81,,28.5,,,
2011-04-07,,,60.26,,4.81,,28.5,,,
2011-04-08,,,60.26,,4.81,,28.5,,,
2011-04-09,,,60.26,,4.81,,28.5,,,
2011-04-10,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-11,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-12,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-13,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-14,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-15,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-16,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-17,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-18,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-19,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-20,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-21,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-22,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-23,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-24,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-25,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-26,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-27,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-28,,,-0.01,-0.01,4.81,,28.5,,,
2011-04-29,,,-0.01,-0.01,4.81,,28.5,,,
