date,B00FO9U46W,B00FO9ZRYG,B00FO9ZRYQ,B00FO9ZRZ0,B00FO9ZRZK,B00FO9ZRZU,B00FO9ZS2W,B00JW3CTTQ,B00RWFQYG0,B017198D8S
2014-06-13,,,,,,,,-0.01,,
2014-06-14,,,,,,,,-0.01,,
2014-06-15,,,,,,,,-0.01,,
2014-06-16,,,,,,,,-0.01,,
2014-06-17,,,,,,,,-0.01,,
2014-06-18,,,,,,,,-0.01,,
2014-06-19,,,,,,,,-0.01,,
2014-06-20,,,,,,,,-0.01,,
2014-06-21,,,,,,,,-0.01,,
2014-06-22,,,,,,,,-0.01,,
2014-06-23,,,,,,,,-0.01,,
2014-06-24,,,,,,,,-0.01,,
2014-06-25,,,,,,,,-0.01,,
2014-06-26,,,,,,,,-0.01,,
2014-06-27,,,,,,,,-0.01,,
2014-06-28,,,,,,,,-0.01,,
2014-06-29,,,,,,,,-0.01,,
2014-06-30,,,,,,,,-0.01,,
2014-07-01,,,,,,,,-0.01,,
2014-07-02,,,,,,,,-0.01,,
2014-07-03,,,,,,,,-0.01,,
2014-07-04,,,,,,,,-0.01,,
2014-07-05,,,,,,,,-0.01,,
2014-07-06,,,,,,,,-0.01,,
2014-07-07,,,,,,,,-0.01,,
2014-07-08,,,,,,,,-0.01,,
2014-07-09,,,,,,,,-0.01,,
2014-07-10,,,,,,,,-0.01,,
2014-07-11,,,,,,,,-0.01,,
2014-07-12,,,,,,,,-0.01,,
2014-07-13,,,,,,,,-0.01,,
2014-07-14,,,,,,,,-0.01,,
2014-07-15,,,,,,,,-0.01,,
2014-07-16,,,,,,,,-0.01,,
2014-07-17,,,,,,,,-0.01,,
2014-07-18,,,,,,,,-0.01,,
2014-07-19,,,,,,,,-0.01,,
2014-07-20,,,,,,,,-0.01,,
2014-07-21,,,,,,,,-0.01,,
2014-07-22,,,,,,,,-0.01,,
2014-07-23,,,,,,,,-0.01,,
2014-07-24,,,,,,,,-0.01,,
2014-07-25,,,,,,,,-0.01,,
2014-07-26,,,,,,,,-0.01,,
2014-07-27,,,,,,,,-0.01,,
2014-07-28,,,,,,,,-0.01,,
2014-07-29,,,,,,,,-0.01,,
