date,category,stockrate,ymd(date),rank,stk_right
1/1/20,Rice,0.345,1/1/20,1,0.345
1/1/20,Dumbbell,0.16,1/1/20,2,0.16
1/1/20,Hair Clipper,0.125,1/1/20,3,0.125
1/1/20,Disinfectant Spray,0.077,1/1/20,4,0.077
1/1/20,Pet Supply,0.067,1/1/20,5,0.067
1/1/20,Olive Oil,0.05,1/1/20,6,0.05
1/2/20,Rice,0.31,1/2/20,1,0.31
1/2/20,Dumbbell,0.16,1/2/20,2,0.16
1/2/20,Hair Clipper,0.125,1/2/20,3,0.125
1/2/20,Disinfectant Spray,0.077,1/2/20,4,0.077
1/2/20,Pet Supply,0.067,1/2/20,5,0.067
1/2/20,Olive Oil,0.05,1/2/20,6,0.05
1/3/20,Rice,0.31,1/3/20,1,0.31
1/3/20,Hair Clipper,0.125,1/3/20,2,0.125
1/3/20,Dumbbell,0.12,1/3/20,3,0.12
1/3/20,Disinfectant Spray,0.077,1/3/20,4,0.077
1/3/20,nintendo.switch,0.067,1/3/20,5,0.067
1/3/20,Pet Supply,0.067,1/3/20,6,0.067
1/3/20,Olive Oil,0.05,1/3/20,7,0.05
1/4/20,Rice,0.31,1/4/20,1,0.31
1/4/20,Hair Clipper,0.125,1/4/20,2,0.125
1/4/20,Dumbbell,0.12,1/4/20,3,0.12
1/4/20,Disinfectant Spray,0.077,1/4/20,4,0.077
1/4/20,nintendo.switch,0.067,1/4/20,5,0.067
1/4/20,Pet Supply,0.067,1/4/20,6,0.067
1/4/20,Olive Oil,0.05,1/4/20,7,0.05
1/5/20,Rice,0.31,1/5/20,1,0.31
1/5/20,Dumbbell,0.16,1/5/20,2,0.16
1/5/20,Pet Supply,0.133,1/5/20,3,0.133
1/5/20,Hair Clipper,0.125,1/5/20,4,0.125
1/5/20,Disinfectant Spray,0.077,1/5/20,5,0.077
1/5/20,nintendo.switch,0.067,1/5/20,6,0.067
1/5/20,Olive Oil,0.05,1/5/20,7,0.05
1/6/20,Rice,0.31,1/6/20,1,0.31
1/6/20,Dumbbell,0.16,1/6/20,2,0.16
1/6/20,Hair Clipper,0.125,1/6/20,3,0.125
1/6/20,nintendo.switch,0.067,1/6/20,4,0.067
1/6/20,Pet Supply,0.067,1/6/20,5,0.067
1/6/20,Olive Oil,0.05,1/6/20,6,0.05
1/7/20,Rice,0.276,1/7/20,1,0.276
1/7/20,Hair Clipper,0.125,1/7/20,2,0.125
1/7/20,Dumbbell,0.12,1/7/20,3,0.12
1/7/20,nintendo.switch,0.067,1/7/20,4,0.067
1/7/20,Pet Supply,0.067,1/7/20,5,0.067
1/7/20,Olive Oil,0.05,1/7/20,6,0.05
1/8/20,Bottled Water,0.333,1/8/20,1,0.333
1/8/20,Rice,0.276,1/8/20,2,0.276
1/8/20,Hair Clipper,0.125,1/8/20,3,0.125
1/8/20,Dumbbell,0.12,1/8/20,4,0.12
1/8/20,nintendo.switch,0.067,1/8/20,5,0.067
1/8/20,Pet Supply,0.067,1/8/20,6,0.067
1/8/20,Olive Oil,0.05,1/8/20,7,0.05
1/9/20,Bottled Water,0.333,1/9/20,1,0.333
1/9/20,Rice,0.276,1/9/20,2,0.276
1/9/20,Dumbbell,0.16,1/9/20,3,0.16
1/9/20,Hair Clipper,0.125,1/9/20,4,0.125
1/9/20,Printer Ink,0.125,1/9/20,5,0.125
1/9/20,nintendo.switch,0.067,1/9/20,6,0.067
1/9/20,Pet Supply,0.067,1/9/20,7,0.067
1/9/20,Olive Oil,0.05,1/9/20,8,0.05
1/10/20,Bottled Water,0.333,1/10/20,1,0.333
1/10/20,Rice,0.207,1/10/20,2,0.207
1/10/20,Hair Clipper,0.125,1/10/20,3,0.125
